"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","169.25","167.13","177.00","166.26","215.08K","1.35%"
"11/30/2025","167.00","169.86","169.97","165.90","390.45K","-0.68%"
"11/27/2025","168.14","170.01","171.77","163.22","488.71K","-1.53%"
"11/26/2025","170.76","176.10","179.85","170.10","414.75K","-2.97%"
"11/25/2025","175.98","182.90","182.90","175.00","346.66K","-2.23%"
"11/24/2025","180.00","183.00","187.95","180.00","163.97K","-1.51%"
"11/23/2025","182.76","184.83","184.83","179.75","80.12K","1.20%"
"11/20/2025","180.60","180.00","185.40","179.00","529.65K","0.92%"
"11/19/2025","178.95","178.07","180.01","176.50","243.06K","0.51%"
"11/18/2025","178.05","183.26","183.95","177.00","410.89K","-1.64%"
"11/17/2025","181.01","186.90","188.90","180.11","138.27K","-2.21%"
"11/16/2025","185.10","193.01","195.00","185.10","290.50K","-3.59%"
"11/13/2025","192.00","193.00","199.50","191.00","510.26K","0.47%"
"11/12/2025","191.10","199.39","199.40","190.00","189.29K","-2.99%"
"11/11/2025","197.00","193.15","204.00","192.55","618.38K","2.60%"
"11/10/2025","192.01","183.30","197.90","181.50","561.66K","5.95%"
"11/09/2025","181.22","176.00","183.97","175.05","314.37K","3.55%"
"11/06/2025","175.00","180.26","183.70","172.00","344.36K","-2.78%"
"11/05/2025","180.01","181.52","186.00","178.15","161.05K","-0.60%"
"11/04/2025","181.10","186.00","189.99","181.10","566.41K","-1.63%"
"11/03/2025","184.10","178.00","192.01","178.00","430.66K","4.02%"
"11/02/2025","176.99","185.00","188.50","174.00","212.71K","-3.42%"
"10/30/2025","183.25","190.00","195.90","182.00","481.01K","-2.27%"
"10/29/2025","187.50","198.02","201.00","181.00","397.92K","-5.30%"
"10/28/2025","198.00","214.00","214.88","196.00","252.17K","-5.72%"
"10/27/2025","210.01","217.99","220.00","201.00","506.19K","-5.83%"
"10/26/2025","223.00","220.00","229.99","220.00","131.11K","1.82%"
"10/23/2025","219.01","217.00","228.00","216.88","407.63K","1.37%"
"10/22/2025","216.05","228.02","230.00","212.00","126.31K","-4.76%"
"10/21/2025","226.84","218.00","232.95","215.10","365.23K","6.00%"
"10/20/2025","214.01","191.02","227.00","191.02","577.56K","12.05%"
