"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","4.65","4.73","4.77","4.63","284.98K","-1.48%"
"11/30/2025","4.72","4.78","4.79","4.70","351.08K","-0.63%"
"11/27/2025","4.75","4.66","4.75","4.66","307.60K","1.06%"
"11/26/2025","4.70","4.69","4.75","4.65","265.56K","0.21%"
"11/25/2025","4.69","4.73","4.80","4.67","715.45K","-1.47%"
"11/24/2025","4.76","4.75","4.78","4.65","550.51K","0.21%"
"11/23/2025","4.75","4.83","4.87","4.72","613.72K","-1.25%"
"11/20/2025","4.81","4.81","4.89","4.81","569.02K","-0.41%"
"11/19/2025","4.83","4.86","4.89","4.80","507.60K","-0.41%"
"11/18/2025","4.85","4.94","5.05","4.83","1.01M","-1.02%"
"11/17/2025","4.90","4.89","5.05","4.85","1.21M","1.03%"
"11/16/2025","4.85","4.81","4.94","4.80","823.78K","0.83%"
"11/13/2025","4.81","4.86","4.91","4.80","648.68K","-0.62%"
"11/12/2025","4.84","4.89","4.98","4.80","754.25K","0.41%"
"11/11/2025","4.82","4.95","4.95","4.75","1.72M","-1.83%"
"11/10/2025","4.91","5.05","5.07","4.88","1.19M","-2.96%"
"11/09/2025","5.06","5.08","5.13","5.02","692.67K","-0.20%"
"11/06/2025","5.07","5.11","5.16","5.06","813.21K","0.00%"
"11/05/2025","5.07","5.24","5.27","5.00","1.83M","-3.06%"
"11/04/2025","5.23","5.26","5.29","5.16","1.12M","0.19%"
"11/03/2025","5.22","5.20","5.33","5.18","2.78M","0.58%"
"11/02/2025","5.19","5.20","5.27","5.12","1.49M","0.39%"
"10/30/2025","5.17","5.23","5.36","5.15","2.52M","-0.96%"
"10/29/2025","5.22","5.27","5.39","5.21","2.35M","0.19%"
"10/28/2025","5.21","5.32","5.38","5.17","2.62M","-1.88%"
"10/27/2025","5.31","5.58","5.58","5.27","5.72M","-2.39%"
"10/26/2025","5.44","5.25","5.63","5.24","20.37M","6.67%"
"10/23/2025","5.10","4.93","5.14","4.93","4.32M","3.66%"
"10/22/2025","4.92","4.85","5.00","4.76","1.44M","1.86%"
"10/21/2025","4.83","4.93","4.94","4.80","1.60M","-1.23%"
"10/20/2025","4.89","4.85","5.02","4.81","4.34M","1.66%"
"10/19/2025","4.81","4.80","4.84","4.72","588.07K","1.69%"
"10/16/2025","4.73","4.79","4.88","4.71","684.52K","0.21%"
"10/15/2025","4.72","4.80","4.80","4.68","500.54K","-0.63%"
"10/14/2025","4.75","4.84","4.89","4.75","1.67M","-1.04%"
"10/13/2025","4.80","4.55","4.81","4.54","3.75M","4.80%"
"10/12/2025","4.58","4.64","4.64","4.53","416.50K","0.44%"
"10/08/2025","4.56","4.68","4.75","4.55","584.19K","-2.36%"
"10/07/2025","4.67","4.70","4.83","4.66","842.54K","-0.21%"
"10/06/2025","4.68","4.56","4.69","4.56","705.27K","1.52%"
"10/05/2025","4.61","4.55","4.66","4.55","179.54K","0.66%"
"10/02/2025","4.58","4.57","4.66","4.54","397.86K","-0.65%"
"10/01/2025","4.61","4.60","4.65","4.55","203.73K","0.88%"
"09/30/2025","4.57","4.70","4.70","4.54","608.19K","-1.51%"
"09/29/2025","4.64","4.72","4.72","4.60","141.01K","-0.64%"
"09/28/2025","4.67","4.64","4.75","4.62","385.01K","2.19%"
"09/25/2025","4.57","4.45","4.85","4.45","908.98K","2.01%"
"09/24/2025","4.48","4.47","4.55","4.45","157.32K","-0.88%"
"09/23/2025","4.52","4.53","4.56","4.50","112.06K","-0.44%"
"09/22/2025","4.54","4.51","4.57","4.42","258.98K","2.71%"
"09/21/2025","4.42","4.48","4.53","4.40","385.28K","-1.34%"
"09/18/2025","4.48","4.63","4.68","4.33","551.01K","-3.45%"
"09/17/2025","4.64","4.60","4.66","4.53","186.04K","1.09%"
"09/16/2025","4.59","4.78","4.79","4.51","293.58K","-4.18%"
"09/15/2025","4.79","4.85","4.94","4.77","857.73K","-1.64%"
"09/14/2025","4.87","4.71","4.94","4.60","940.99K","3.84%"
"09/11/2025","4.69","4.68","4.72","4.65","99.10K","0.21%"
"09/10/2025","4.68","4.69","4.76","4.65","300.42K","-0.21%"
"09/09/2025","4.69","4.76","4.80","4.66","540.81K","-1.47%"
"09/08/2025","4.76","4.80","4.87","4.75","421.28K","-0.63%"
