"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","136.21","138.00","139.45","136.13","76.31K","-1.15%"
"11/30/2025","137.80","141.20","142.98","136.00","106.36K","-1.98%"
"11/27/2025","140.59","136.00","146.00","135.30","235.63K","3.94%"
"11/26/2025","135.26","146.00","147.88","133.35","139.42K","-7.58%"
"11/25/2025","146.36","148.76","154.00","146.30","105.38K","-1.11%"
"11/24/2025","148.00","149.50","150.00","145.12","118.49K","-0.18%"
"11/23/2025","148.27","145.00","154.99","144.22","314.00K","2.25%"
"11/20/2025","145.01","137.00","149.00","136.31","508.59K","6.81%"
"11/19/2025","135.76","129.96","136.99","126.80","334.98K","6.06%"
"11/18/2025","128.00","133.31","134.88","126.60","274.30K","-3.77%"
"11/17/2025","133.01","130.50","138.00","130.02","492.82K","2.82%"
"11/16/2025","129.36","133.00","137.80","125.10","302.38K","-2.37%"
"11/13/2025","132.50","124.03","139.80","122.11","1.78M","11.06%"
"11/12/2025","119.30","101.75","121.75","101.00","2.24M","17.43%"
"11/11/2025","101.59","96.79","101.79","95.50","381.75K","5.82%"
"11/10/2025","96.00","97.00","97.68","95.60","191.72K","-0.10%"
"11/09/2025","96.10","94.20","98.40","93.11","259.30K","2.09%"
"11/06/2025","94.13","97.00","98.90","92.90","146.66K","-2.51%"
"11/05/2025","96.55","95.61","99.25","95.01","294.66K","0.99%"
"11/04/2025","95.60","94.98","96.79","93.62","180.30K","2.25%"
"11/03/2025","93.50","91.44","93.50","91.00","137.70K","2.70%"
"11/02/2025","91.04","93.51","94.45","91.00","141.22K","-2.64%"
"10/30/2025","93.51","93.57","94.00","92.01","82.30K","-0.06%"
"10/29/2025","93.57","93.94","96.00","93.05","195.03K","0.44%"
"10/28/2025","93.16","93.39","93.55","91.51","170.16K","0.69%"
"10/27/2025","92.52","96.00","96.87","92.01","242.39K","-2.10%"
"10/26/2025","94.50","93.11","97.00","91.00","637.77K","2.07%"
"10/23/2025","92.58","86.50","94.35","86.35","998.92K","7.65%"
"10/22/2025","86.00","84.10","87.75","84.00","496.18K","2.28%"
"10/21/2025","84.08","84.70","85.00","83.80","287.27K","-0.02%"
"10/20/2025","84.10","81.97","85.00","81.81","360.23K","2.80%"
"10/19/2025","81.81","82.90","84.30","81.80","194.80K","-0.84%"
"10/16/2025","82.50","84.95","85.40","82.00","218.76K","-1.79%"
