"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","28.08","28.05","28.22","27.91","226.02K","0.11%"
"11/30/2025","28.05","28.23","28.35","27.90","337.36K","-0.32%"
"11/27/2025","28.14","28.05","28.25","28.03","167.83K","0.32%"
"11/26/2025","28.05","28.15","28.58","28.03","196.24K","-0.46%"
"11/25/2025","28.18","28.45","28.59","28.16","228.93K","-0.81%"
"11/24/2025","28.41","28.56","28.69","28.40","310.89K","-0.53%"
"11/23/2025","28.56","28.62","28.75","28.50","225.44K","0.07%"
"11/20/2025","28.54","28.54","28.89","28.50","231.73K","-0.17%"
"11/19/2025","28.59","28.69","28.99","28.50","466.66K","-0.35%"
"11/18/2025","28.69","28.91","29.20","28.64","871.28K","-0.76%"
"11/17/2025","28.91","28.70","28.97","28.52","812.74K","0.77%"
"11/16/2025","28.69","29.20","29.20","28.60","486.25K","-1.03%"
"11/13/2025","28.99","29.25","29.44","28.93","367.69K","-0.72%"
"11/12/2025","29.20","29.11","29.42","29.05","378.64K","0.62%"
"11/11/2025","29.02","29.46","29.52","29.01","852.58K","-1.36%"
"11/10/2025","29.42","28.79","29.43","28.71","1.34M","2.76%"
"11/09/2025","28.63","28.69","28.95","28.61","333.33K","-0.14%"
"11/06/2025","28.67","28.72","28.87","28.45","188.25K","0.60%"
"11/05/2025","28.50","29.00","29.15","28.39","630.18K","-1.72%"
"11/04/2025","29.00","29.00","29.30","28.92","405.24K","0.17%"
"11/03/2025","28.95","29.50","29.52","28.90","555.95K","-1.73%"
"11/02/2025","29.46","29.45","29.67","29.22","233.32K","0.03%"
"10/30/2025","29.45","29.45","29.69","29.31","609.93K","0.07%"
"10/29/2025","29.43","29.58","29.88","29.01","505.79K","0.14%"
"10/28/2025","29.39","29.56","29.90","29.30","440.68K","-0.54%"
"10/27/2025","29.55","29.52","29.95","29.50","464.71K","0.14%"
"10/26/2025","29.51","29.80","29.86","29.36","505.24K","-0.91%"
"10/23/2025","29.78","29.85","29.98","29.71","147.75K","-0.07%"
"10/22/2025","29.80","29.80","30.00","29.62","374.27K","0.00%"
"10/21/2025","29.80","30.28","30.30","29.55","469.72K","-1.59%"
"10/20/2025","30.28","30.40","30.50","30.12","863.53K","-0.33%"
"10/19/2025","30.38","29.30","30.48","29.11","1.49M","3.65%"
"10/16/2025","29.31","29.00","29.39","28.80","511.98K","1.07%"
"10/15/2025","29.00","29.02","29.20","28.81","216.14K","-0.07%"
"10/14/2025","29.02","28.80","29.20","28.80","280.46K","1.36%"
"10/13/2025","28.63","29.23","29.23","28.60","746.23K","-2.09%"
"10/12/2025","29.24","29.06","29.35","29.06","190.20K","-0.71%"
"10/08/2025","29.45","29.50","29.53","29.04","439.52K","0.14%"
"10/07/2025","29.41","29.70","29.78","29.40","189.81K","-0.98%"
"10/06/2025","29.70","29.76","29.90","29.66","206.49K","-0.10%"
"10/05/2025","29.73","29.75","29.85","29.56","265.81K","0.27%"
"10/02/2025","29.65","30.00","30.00","29.33","765.85K","-1.33%"
"10/01/2025","30.05","30.10","30.25","29.80","902.42K","-0.17%"
"09/30/2025","30.10","29.40","30.22","29.10","2.31M","2.91%"
"09/29/2025","29.25","28.64","29.27","28.50","1.56M","2.67%"
"09/28/2025","28.49","28.37","28.50","28.00","425.22K","1.68%"
"09/25/2025","28.02","28.50","28.60","27.89","898.03K","-1.51%"
"09/24/2025","28.45","26.81","28.72","26.81","1.88M","6.51%"
"09/23/2025","26.71","26.80","27.19","26.70","322.52K","-0.30%"
"09/22/2025","26.79","27.30","27.50","26.70","350.06K","-1.87%"
"09/21/2025","27.30","27.50","27.64","27.30","182.89K","-0.69%"
"09/18/2025","27.49","27.30","27.53","27.26","438.43K","0.70%"
"09/17/2025","27.30","27.18","27.40","27.02","426.96K","0.44%"
"09/16/2025","27.18","27.22","27.40","26.90","446.26K","-0.11%"
"09/15/2025","27.21","27.15","27.31","27.11","235.85K","0.33%"
"09/14/2025","27.12","27.18","27.40","27.10","561.00K","-0.15%"
"09/11/2025","27.16","27.25","27.45","27.12","466.88K","-0.29%"
"09/10/2025","27.24","27.15","27.50","27.00","255.15K","0.52%"
"09/09/2025","27.10","27.69","27.89","27.07","634.91K","-2.10%"
"09/08/2025","27.68","27.76","28.00","27.63","268.28K","-0.54%"
"09/07/2025","27.83","27.90","28.20","27.70","124.14K","-0.25%"
"09/03/2025","27.90","28.25","28.30","27.82","239.30K","-1.27%"
"09/02/2025","28.26","27.95","28.60","27.70","660.61K","1.73%"
"09/01/2025","27.78","27.49","28.00","27.39","582.51K","1.24%"
"08/31/2025","27.44","27.87","27.87","27.40","281.85K","-0.25%"
"08/28/2025","27.51","27.50","27.80","27.41","469.15K","0.04%"
"08/27/2025","27.50","28.00","28.00","27.37","443.35K","-1.68%"
"08/26/2025","27.97","28.42","28.65","27.95","394.94K","-1.58%"
"08/25/2025","28.42","28.81","28.85","28.40","256.60K","-0.66%"
"08/24/2025","28.61","28.95","29.00","28.60","208.72K","-1.04%"
"08/21/2025","28.91","29.15","29.35","28.79","199.16K","-0.79%"
"08/20/2025","29.14","29.60","29.70","29.10","725.73K","-1.45%"
"08/19/2025","29.57","29.45","29.60","29.41","447.26K","0.44%"
"08/18/2025","29.44","29.40","29.61","29.34","575.38K","0.34%"
"08/17/2025","29.34","29.36","29.49","29.26","140.61K","0.31%"
"08/14/2025","29.25","29.25","29.48","29.02","582.94K","0.14%"
"08/13/2025","29.21","29.74","29.93","29.20","545.65K","-1.78%"
"08/12/2025","29.74","29.50","29.79","29.31","764.80K","0.81%"
"08/11/2025","29.50","29.15","29.55","28.81","1.32M","1.27%"
"08/10/2025","29.13","29.02","29.19","28.86","843.95K","1.75%"
"08/07/2025","28.63","28.09","28.97","28.01","1.26M","1.92%"
"08/06/2025","28.09","28.10","28.19","27.98","322.06K","0.21%"
"08/05/2025","28.03","28.12","28.12","27.81","299.46K","-0.32%"
