"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","9.340","9.300","9.580","9.250","3.49M","1.30%"
"11/30/2025","9.220","9.250","9.360","9.200","1.47M","0.11%"
"11/27/2025","9.210","9.250","9.380","9.190","2.27M","-0.32%"
"11/26/2025","9.240","9.410","9.590","9.240","3.36M","-1.70%"
"11/25/2025","9.400","9.660","9.760","9.400","2.51M","-2.49%"
"11/24/2025","9.640","9.710","9.890","9.600","2.60M","-1.03%"
"11/23/2025","9.740","9.980","10.000","9.720","2.32M","-2.11%"
"11/20/2025","9.950","10.000","10.070","9.900","2.47M","-0.10%"
"11/19/2025","9.960","10.160","10.200","9.900","4.69M","-1.87%"
"11/18/2025","10.150","10.290","10.300","10.150","2.13M","-1.07%"
"11/17/2025","10.260","10.370","10.440","10.220","3.07M","-0.48%"
"11/16/2025","10.310","10.230","10.460","10.180","4.32M","0.78%"
"11/13/2025","10.230","10.300","10.340","10.200","3.31M","-0.49%"
"11/12/2025","10.280","10.290","10.370","10.230","2.57M","-0.10%"
"11/11/2025","10.290","10.400","10.440","10.250","3.07M","-0.96%"
"11/10/2025","10.390","10.430","10.560","10.330","5.22M","-0.19%"
"11/09/2025","10.410","10.230","10.420","10.170","6.20M","2.36%"
"11/06/2025","10.170","10.250","10.310","10.100","4.51M","-0.29%"
"11/05/2025","10.200","10.450","10.490","10.200","5.03M","-2.11%"
"11/04/2025","10.420","10.590","10.640","10.420","5.74M","-1.33%"
"11/03/2025","10.560","10.670","10.670","10.500","2.57M","-0.85%"
"11/02/2025","10.650","10.700","10.740","10.570","2.13M","0.09%"
"10/30/2025","10.640","10.450","10.770","10.430","3.93M","1.92%"
"10/29/2025","10.440","10.580","10.580","10.410","2.45M","-0.85%"
"10/28/2025","10.530","10.650","10.700","10.490","3.82M","-0.94%"
"10/27/2025","10.630","10.650","10.740","10.600","5.75M","0.09%"
"10/26/2025","10.620","10.630","10.790","10.570","3.90M","0.19%"
"10/23/2025","10.600","10.700","10.700","10.560","3.92M","-0.28%"
"10/22/2025","10.630","10.730","10.880","10.630","4.24M","-1.02%"
"10/21/2025","10.740","10.840","10.850","10.740","3.61M","-0.28%"
"10/20/2025","10.770","11.000","11.050","10.770","8.45M","-1.91%"
"10/19/2025","10.980","11.070","11.090","10.900","5.69M","-0.09%"
"10/16/2025","10.990","11.100","11.160","10.920","6.28M","-0.27%"
"10/15/2025","11.020","10.820","11.100","10.670","11.14M","2.04%"
"10/14/2025","10.800","11.050","11.100","10.780","6.89M","-1.46%"
"10/13/2025","10.960","10.810","11.210","10.800","14.21M","2.05%"
"10/12/2025","10.740","11.570","11.570","10.650","20.35M","-7.33%"
"10/08/2025","11.590","11.800","11.900","11.520","13.59M","-1.61%"
"10/07/2025","11.780","11.550","11.900","11.550","14.94M","2.43%"
"10/06/2025","11.500","11.400","11.530","11.330","7.09M","1.14%"
"10/05/2025","11.370","11.480","11.500","11.330","12.52M","-0.35%"
"10/02/2025","11.410","11.100","11.500","10.970","24.71M","2.98%"
"10/01/2025","11.080","11.140","11.300","10.960","9.51M","-0.18%"
"09/30/2025","11.100","10.660","11.200","10.640","19.58M","4.72%"
"09/29/2025","10.600","10.830","10.950","10.600","6.96M","-2.12%"
"09/28/2025","10.830","10.800","10.830","10.580","6.75M","0.65%"
"09/25/2025","10.760","10.350","10.760","10.350","10.37M","4.16%"
"09/24/2025","10.330","10.270","10.380","10.230","2.76M","0.58%"
"09/23/2025","10.270","10.410","10.480","10.270","2.36M","-1.34%"
"09/22/2025","10.410","10.520","10.600","10.390","5.49M","-0.86%"
"09/21/2025","10.500","10.200","10.610","10.160","14.58M","3.75%"
"09/18/2025","10.120","10.310","10.360","10.120","3.80M","-1.75%"
"09/17/2025","10.300","10.520","10.570","10.260","4.87M","-1.90%"
"09/16/2025","10.500","10.910","10.960","10.440","5.01M","-3.76%"
"09/15/2025","10.910","11.030","11.080","10.790","7.65M","-0.73%"
"09/14/2025","10.990","10.800","11.080","10.770","11.63M","2.42%"
"09/11/2025","10.730","11.050","11.120","10.660","6.65M","-2.90%"
"09/10/2025","11.050","10.970","11.220","10.900","6.79M","1.01%"
"09/09/2025","10.940","11.180","11.220","10.940","4.13M","-1.62%"
"09/08/2025","11.120","11.050","11.180","10.860","5.39M","0.91%"
"09/07/2025","11.020","11.420","11.420","11.020","8.38M","-3.42%"
"09/03/2025","11.410","11.680","11.700","11.410","5.38M","-2.06%"
"09/02/2025","11.650","11.920","11.950","11.590","11.26M","-0.43%"
"09/01/2025","11.700","11.690","11.750","11.550","3.35M","0.52%"
"08/31/2025","11.640","11.750","11.870","11.580","7.52M","-0.09%"
"08/28/2025","11.650","11.800","11.900","11.650","10.31M","-1.19%"
"08/27/2025","11.790","11.500","11.790","11.390","8.40M","2.52%"
"08/26/2025","11.500","11.750","11.750","11.500","8.32M","-1.96%"
"08/25/2025","11.730","11.930","11.990","11.700","12.03M","-1.51%"
"08/24/2025","11.910","12.200","12.230","11.800","24.90M","0.08%"
"08/21/2025","11.900","11.650","12.000","11.550","21.49M","2.15%"
"08/20/2025","11.650","11.840","11.870","11.600","13.20M","-1.02%"
"08/19/2025","11.770","11.510","11.770","11.480","11.31M","2.35%"
"08/18/2025","11.500","11.680","11.750","11.490","9.11M","-1.29%"
"08/17/2025","11.650","11.570","11.710","11.480","12.44M","0.43%"
"08/14/2025","11.600","11.700","11.740","11.440","6.38M","-0.51%"
"08/13/2025","11.660","11.900","11.930","11.590","10.37M","-1.60%"
"08/12/2025","11.850","11.610","12.000","11.550","19.15M","2.51%"
