"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","1.950","1.950","2.050","1.940","7.05M","0.52%"
"11/30/2025","1.940","1.960","1.980","1.930","2.31M","-0.51%"
"11/27/2025","1.950","1.980","2.080","1.930","12.23M","-0.51%"
"11/26/2025","1.960","2.000","2.080","1.960","4.12M","-2.00%"
"11/25/2025","2.000","2.080","2.090","1.920","7.97M","-3.85%"
"11/24/2025","2.080","2.140","2.150","2.070","4.34M","-2.35%"
"11/23/2025","2.130","2.100","2.210","2.090","15.39M","2.40%"
"11/20/2025","2.080","1.970","2.130","1.960","27.73M","6.12%"
"11/19/2025","1.960","1.840","1.980","1.820","16.33M","7.69%"
"11/18/2025","1.820","1.860","1.880","1.810","2.12M","-0.55%"
"11/17/2025","1.830","1.840","1.880","1.820","6.37M","0.00%"
"11/16/2025","1.830","1.840","1.880","1.800","4.90M","1.67%"
"11/13/2025","1.800","1.810","1.820","1.790","2.48M","-0.55%"
"11/12/2025","1.810","1.810","1.840","1.810","1.71M","0.00%"
"11/11/2025","1.810","1.810","1.850","1.800","4.10M","0.00%"
"11/10/2025","1.810","1.830","1.840","1.800","3.20M","0.00%"
"11/09/2025","1.810","1.810","1.860","1.800","3.87M","0.56%"
"11/06/2025","1.800","1.800","1.850","1.790","3.16M","0.00%"
"11/05/2025","1.800","1.860","1.870","1.800","2.42M","-2.17%"
"11/04/2025","1.840","1.870","1.900","1.830","1.70M","-1.08%"
"11/03/2025","1.860","1.860","1.910","1.850","4.25M","0.54%"
"11/02/2025","1.850","1.840","1.860","1.810","2.64M","1.09%"
"10/30/2025","1.830","1.880","1.880","1.830","1.94M","-1.08%"
"10/29/2025","1.850","1.830","1.880","1.830","3.44M","0.54%"
"10/28/2025","1.840","1.880","1.890","1.830","2.68M","-2.13%"
"10/27/2025","1.880","1.900","1.900","1.860","4.49M","-0.53%"
"10/26/2025","1.890","1.840","1.970","1.840","28.99M","3.28%"
"10/23/2025","1.830","1.810","1.870","1.800","7.99M","1.10%"
"10/22/2025","1.810","1.840","1.860","1.810","6.71M","-1.63%"
"10/21/2025","1.840","1.790","1.870","1.780","12.55M","2.79%"
"10/20/2025","1.790","1.790","1.840","1.770","9.52M","1.13%"
"10/19/2025","1.770","1.760","1.800","1.750","6.31M","1.14%"
"10/16/2025","1.750","1.780","1.820","1.750","6.77M","-1.13%"
"10/15/2025","1.770","1.700","1.810","1.690","17.45M","5.99%"
"10/14/2025","1.670","1.700","1.700","1.670","1.51M","-1.18%"
"10/13/2025","1.690","1.720","1.740","1.680","4.04M","-0.59%"
"10/12/2025","1.700","1.670","1.730","1.660","6.06M","1.80%"
"10/08/2025","1.670","1.670","1.690","1.650","3.03M","0.60%"
"10/07/2025","1.660","1.670","1.700","1.660","2.52M","-0.60%"
"10/06/2025","1.670","1.660","1.710","1.650","6.95M","1.83%"
"10/05/2025","1.640","1.650","1.650","1.630","1.29M","0.61%"
"10/02/2025","1.630","1.650","1.660","1.620","2.00M","0.00%"
"10/01/2025","1.630","1.660","1.670","1.630","1.65M","-0.61%"
"09/30/2025","1.640","1.640","1.660","1.640","1.95M","0.00%"
"09/29/2025","1.640","1.640","1.660","1.640","1.49M","0.00%"
"09/28/2025","1.640","1.650","1.680","1.640","3.55M","0.00%"
"09/25/2025","1.640","1.650","1.660","1.630","631.13K","0.00%"
"09/24/2025","1.640","1.690","1.690","1.630","3.81M","-1.80%"
"09/23/2025","1.670","1.620","1.730","1.620","11.61M","3.73%"
"09/22/2025","1.610","1.600","1.620","1.590","850.35K","0.62%"
"09/21/2025","1.600","1.610","1.630","1.590","711.65K","-0.62%"
"09/18/2025","1.610","1.620","1.640","1.610","1.82M","-0.62%"
"09/17/2025","1.620","1.620","1.640","1.600","2.11M","0.62%"
"09/16/2025","1.610","1.630","1.650","1.600","2.55M","-1.83%"
"09/15/2025","1.640","1.710","1.720","1.610","7.08M","-3.53%"
"09/14/2025","1.700","1.710","1.740","1.700","1.75M","0.00%"
"09/11/2025","1.700","1.720","1.750","1.690","3.80M","0.00%"
"09/10/2025","1.700","1.690","1.740","1.680","2.27M","0.59%"
"09/09/2025","1.690","1.750","1.760","1.680","3.84M","-2.87%"
