"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","22.66","22.40","22.90","22.30","213.87K","1.75%"
"11/30/2025","22.27","22.01","22.42","22.01","110.50K","1.23%"
"11/27/2025","22.00","22.40","22.40","22.00","199.01K","-1.17%"
"11/26/2025","22.26","22.35","22.64","22.11","1.26M","0.04%"
"11/25/2025","22.25","22.68","22.69","22.20","112.71K","-1.29%"
"11/24/2025","22.54","22.80","22.90","22.40","175.64K","-1.14%"
"11/23/2025","22.80","22.80","23.00","22.50","93.87K","0.04%"
"11/20/2025","22.79","23.40","23.40","22.70","170.30K","-2.90%"
"11/19/2025","23.47","22.50","23.60","22.25","310.18K","5.06%"
"11/18/2025","22.34","22.59","22.60","22.23","117.95K","-0.36%"
"11/17/2025","22.42","23.35","23.35","22.10","1.33M","-4.31%"
"11/16/2025","23.43","23.75","23.80","23.00","195.32K","-1.64%"
"11/13/2025","23.82","24.39","24.39","23.51","279.22K","-2.34%"
"11/12/2025","24.39","24.17","24.39","23.75","383.55K","1.37%"
"11/11/2025","24.06","24.11","24.33","23.82","702.00K","1.01%"
"11/10/2025","23.82","23.11","24.00","22.60","694.35K","2.41%"
"11/09/2025","23.26","23.82","23.89","23.00","326.18K","-2.27%"
"11/06/2025","23.80","22.90","23.80","22.90","589.86K","4.16%"
"11/05/2025","22.85","23.45","23.87","22.60","489.63K","-2.18%"
"11/04/2025","23.36","22.60","23.42","22.45","726.23K","3.87%"
"11/03/2025","22.49","22.40","22.60","21.95","866.41K","1.72%"
"11/02/2025","22.11","22.12","22.44","21.90","251.76K","0.27%"
"10/30/2025","22.05","22.30","22.52","22.05","590.11K","-1.12%"
"10/29/2025","22.30","22.10","22.43","21.81","641.27K","1.04%"
"10/28/2025","22.07","22.29","22.39","22.03","234.72K","-0.99%"
"10/27/2025","22.29","22.40","22.49","22.20","206.01K","-0.22%"
"10/26/2025","22.34","22.30","22.50","22.24","388.22K","0.36%"
"10/23/2025","22.26","22.35","22.39","22.20","165.41K","-0.18%"
"10/22/2025","22.30","22.35","22.38","22.16","1.02M","-0.13%"
"10/21/2025","22.33","22.35","22.49","22.24","96.42K","-0.27%"
"10/20/2025","22.39","22.60","22.60","22.11","388.48K","-0.93%"
"10/19/2025","22.60","22.49","22.60","22.26","291.28K","0.94%"
"10/16/2025","22.39","22.50","22.50","22.30","217.80K","-0.04%"
"10/15/2025","22.40","22.30","22.40","22.00","503.58K","0.31%"
"10/14/2025","22.33","22.90","22.95","22.30","235.52K","-1.85%"
"10/13/2025","22.75","23.00","23.29","22.70","936.76K","-1.04%"
"10/12/2025","22.99","22.40","23.18","22.35","539.33K","2.31%"
"10/08/2025","22.47","22.85","23.59","22.41","946.21K","-0.84%"
"10/07/2025","22.66","22.40","22.74","22.13","372.35K","1.16%"
"10/06/2025","22.40","22.01","22.40","21.72","511.19K","1.82%"
"10/05/2025","22.00","21.60","22.05","21.60","427.29K","1.99%"
"10/02/2025","21.57","21.40","22.01","21.21","530.71K","0.79%"
"10/01/2025","21.40","21.50","21.58","21.25","137.67K","-0.42%"
"09/30/2025","21.49","21.44","21.53","21.25","211.05K","0.19%"
"09/29/2025","21.45","21.35","21.60","21.00","387.05K","-0.69%"
"09/28/2025","21.60","21.81","21.90","21.43","156.21K","-0.96%"
"09/25/2025","21.81","21.52","21.88","21.12","545.93K","1.35%"
"09/24/2025","21.52","20.84","22.80","20.84","1.99M","3.91%"
"09/23/2025","20.71","20.12","21.00","20.12","726.99K","3.65%"
"09/22/2025","19.98","19.79","20.16","19.64","483.37K","1.99%"
"09/21/2025","19.59","19.90","19.92","19.55","88.36K","-1.41%"
"09/18/2025","19.87","19.81","19.90","19.50","85.68K","-0.05%"
"09/17/2025","19.88","19.66","19.96","19.60","55.61K","0.30%"
"09/16/2025","19.82","20.30","20.49","19.35","163.48K","-2.84%"
"09/15/2025","20.40","20.51","20.65","20.16","218.70K","-0.34%"
"09/14/2025","20.47","20.52","20.88","20.44","196.09K","0.00%"
"09/11/2025","20.47","20.01","20.89","20.01","585.35K","2.40%"
"09/10/2025","19.99","19.96","20.14","19.83","194.17K","0.00%"
"09/09/2025","19.99","19.65","20.28","19.65","908.32K","2.09%"
"09/08/2025","19.58","19.35","19.89","19.05","576.36K","1.56%"
"09/07/2025","19.28","19.60","19.64","19.08","198.19K","-0.77%"
"09/03/2025","19.43","20.05","20.05","19.30","270.84K","-2.66%"
"09/02/2025","19.96","20.00","20.12","19.94","1.07M","0.00%"
"09/01/2025","19.96","20.00","20.09","19.80","107.82K","0.35%"
"08/31/2025","19.89","20.02","20.33","19.84","147.76K","-0.55%"
"08/28/2025","20.00","20.10","20.17","19.95","582.59K","0.15%"
"08/27/2025","19.97","20.75","20.88","19.92","893.93K","-3.67%"
"08/26/2025","20.73","21.10","21.20","20.70","717.69K","-1.71%"
"08/25/2025","21.09","21.33","21.65","21.00","230.94K","-1.03%"
"08/24/2025","21.31","21.55","21.70","21.24","189.43K","-0.70%"
"08/21/2025","21.46","21.60","21.79","21.21","1.79M","-0.28%"
"08/20/2025","21.52","21.90","21.90","21.51","215.20K","-0.88%"
"08/19/2025","21.71","21.85","21.98","21.66","136.61K","-1.05%"
"08/18/2025","21.94","21.89","22.33","21.85","169.64K","0.46%"
"08/17/2025","21.84","21.54","21.92","21.45","186.10K","1.39%"
"08/14/2025","21.54","21.65","21.69","21.50","451.96K","-0.51%"
"08/13/2025","21.65","21.65","21.75","21.55","397.41K","-0.60%"
"08/12/2025","21.78","22.05","22.18","21.50","2.51M","-1.49%"
"08/11/2025","22.11","22.40","22.55","21.85","385.34K","-1.29%"
"08/10/2025","22.40","22.75","22.75","22.32","152.13K","-1.23%"
"08/07/2025","22.68","22.61","22.90","22.44","625.20K","0.35%"
"08/06/2025","22.60","21.62","23.00","21.50","2.88M","4.78%"
"08/05/2025","21.57","21.24","21.66","21.06","542.81K","2.47%"
"08/04/2025","21.05","21.19","21.40","21.02","556.95K","-0.66%"
"08/03/2025","21.19","21.35","21.40","20.93","406.63K","-0.47%"
"07/31/2025","21.29","21.12","21.40","20.70","582.21K","1.09%"
"07/30/2025","21.06","21.52","22.00","21.00","1.07M","0.29%"
"07/29/2025","21.00","20.80","21.28","20.80","668.25K","0.96%"
"07/28/2025","20.80","21.30","21.45","20.55","456.31K","-2.26%"
"07/27/2025","21.28","21.10","21.35","20.55","454.79K","1.00%"
"07/23/2025","21.07","21.74","21.74","21.00","327.60K","-2.72%"
"07/22/2025","21.66","21.95","21.95","21.40","880.42K","-1.01%"
"07/21/2025","21.88","21.99","21.99","21.75","515.33K","0.55%"
"07/20/2025","21.76","21.81","22.28","21.65","412.28K","-0.46%"
"07/17/2025","21.86","21.73","22.30","21.61","461.54K","0.74%"
"07/16/2025","21.70","21.81","21.99","21.60","184.99K","-0.41%"
"07/15/2025","21.79","21.90","22.25","21.00","410.72K","-0.50%"
"07/14/2025","21.90","22.15","22.39","21.87","328.69K","-0.68%"
"07/13/2025","22.05","22.57","22.76","22.00","194.24K","-2.26%"
"07/10/2025","22.56","22.40","22.90","22.11","480.01K","0.62%"
"07/09/2025","22.42","22.33","22.84","22.01","795.77K","-0.36%"
"07/07/2025","22.50","21.68","22.70","21.61","1.48M","4.17%"
"07/06/2025","21.60","22.05","22.29","21.50","943.22K","-1.95%"
"07/02/2025","22.03","22.65","22.73","22.03","870.72K","-2.09%"
"07/01/2025","22.50","23.16","23.30","22.50","782.92K","-8.87%"
"06/30/2025","24.69","22.50","24.80","21.86","1.09M","10.12%"
"06/29/2025","22.42","22.21","23.78","21.86","2.28M","0.54%"
"06/25/2025","22.30","21.90","22.30","21.41","1.28M","1.59%"
"06/24/2025","21.95","22.15","22.47","21.21","1.38M","-0.32%"
"06/23/2025","22.02","19.74","23.19","19.00","4.18M","11.49%"
"06/22/2025","19.75","18.52","19.75","18.25","388.33K","6.58%"
"06/19/2025","18.53","19.10","19.50","18.40","278.51K","-2.98%"
"06/18/2025","19.10","18.50","19.18","18.02","1.09M","3.80%"
"06/17/2025","18.40","18.55","18.57","18.30","230.94K","-0.81%"
"06/16/2025","18.55","18.11","18.85","18.10","265.07K","2.88%"
"06/15/2025","18.03","18.25","18.25","17.51","209.70K","-2.86%"
"06/12/2025","18.56","18.75","18.80","18.50","766.08K","-1.28%"
"06/11/2025","18.80","18.76","19.01","18.60","999.08K","0.21%"
"06/10/2025","18.76","18.76","18.78","18.30","184.96K","0.00%"
"06/04/2025","18.76","18.12","18.76","18.12","532.59K","3.70%"
"06/03/2025","18.09","18.70","18.70","18.05","781.55K","-3.26%"
"06/02/2025","18.70","18.40","18.70","18.00","551.27K","1.91%"
"06/01/2025","18.35","18.69","18.69","18.22","1.63M","-2.24%"
"05/29/2025","18.77","18.48","18.77","18.00","448.62K","3.47%"
"05/28/2025","18.14","18.65","18.70","18.10","167.36K","-2.68%"
"05/27/2025","18.64","18.17","19.00","18.10","366.02K","3.27%"
"05/26/2025","18.05","18.27","18.58","18.00","230.90K","-0.99%"
"05/25/2025","18.23","18.59","19.00","18.10","295.40K","-1.94%"
"05/22/2025","18.59","18.05","18.70","18.04","3.66M","3.28%"
"05/21/2025","18.00","18.02","18.10","17.90","241.36K","0.17%"
"05/20/2025","17.97","18.05","18.09","17.90","65.15K","-0.22%"
"05/19/2025","18.01","17.99","18.05","17.75","408.06K","0.11%"
"05/18/2025","17.99","18.17","18.20","17.88","41.73K","-0.61%"
"05/15/2025","18.10","18.10","18.25","18.00","598.44K","0.61%"
"05/14/2025","17.99","18.05","18.19","17.90","85.90K","-0.06%"
"05/13/2025","18.00","17.89","18.05","17.50","612.25K","1.87%"
"05/12/2025","17.67","18.00","18.00","17.61","53.90K","-1.45%"
"05/11/2025","17.93","18.00","18.07","17.81","608.40K","0.67%"
"05/08/2025","17.81","18.00","18.04","17.70","592.52K","-0.39%"
"05/07/2025","17.88","18.40","18.40","17.84","966.19K","-2.83%"
"05/06/2025","18.40","18.70","18.79","18.40","157.52K","-1.60%"
"05/05/2025","18.70","18.95","18.99","18.21","2.16M","-1.68%"
"05/04/2025","19.02","19.00","19.10","18.38","526.46K","0.11%"
"04/30/2025","19.00","18.50","19.18","18.37","987.07K","2.70%"
"04/29/2025","18.50","17.25","18.50","17.20","1.34M","7.50%"
"04/28/2025","17.21","17.13","17.24","17.05","193.30K","0.70%"
"04/27/2025","17.09","17.09","17.14","16.81","150.77K","0.53%"
"04/23/2025","17.00","16.89","17.00","16.75","252.92K","0.65%"
"04/22/2025","16.89","16.75","16.92","16.70","170.28K","0.60%"
"04/17/2025","16.79","16.70","16.80","16.51","222.84K","0.84%"
"04/16/2025","16.65","16.74","16.74","16.55","259.71K","-0.30%"
"04/15/2025","16.70","16.70","16.82","16.50","430.57K","0.60%"
"04/14/2025","16.60","16.94","16.95","16.50","251.81K","-2.12%"
"04/13/2025","16.96","16.57","16.97","16.57","580.78K","2.79%"
"04/10/2025","16.50","16.97","16.97","16.10","1.12M","3.71%"
"04/09/2025","15.91","16.75","16.79","15.82","293.83K","-5.01%"
"04/08/2025","16.75","16.51","17.09","16.50","358.69K","1.82%"
"04/07/2025","16.45","16.43","16.50","15.62","656.24K","-0.12%"
"04/06/2025","16.47","16.80","16.80","15.70","602.10K","-3.12%"
"04/03/2025","17.00","17.00","17.20","16.86","114.14K","1.19%"
"03/27/2025","16.80","17.15","17.22","16.20","352.12K","-1.81%"
"03/26/2025","17.11","17.40","17.40","17.11","149.31K","-1.50%"
"03/25/2025","17.37","16.80","17.47","16.53","834.75K","-7.46%"
"03/24/2025","18.77","18.88","18.90","18.75","418.93K","0.11%"
"03/23/2025","18.75","18.78","18.99","18.65","260.58K","0.05%"
"03/20/2025","18.74","18.60","18.89","18.60","160.50K","1.02%"
"03/19/2025","18.55","18.61","18.70","18.50","187.63K","-0.05%"
"03/18/2025","18.56","18.80","18.80","18.50","152.88K","-0.64%"
"03/17/2025","18.68","18.95","19.19","18.65","177.97K","-0.85%"
"03/16/2025","18.84","19.43","19.45","18.80","422.10K","-2.38%"
"03/13/2025","19.30","18.78","20.00","18.60","920.69K","2.77%"
"03/12/2025","18.78","18.70","18.83","18.60","196.88K","0.43%"
"03/11/2025","18.70","18.68","18.82","18.60","114.50K","-0.32%"
"03/10/2025","18.76","18.90","19.05","18.65","392.37K","-0.74%"
"03/09/2025","18.90","18.75","19.05","18.65","152.49K","0.80%"
"03/06/2025","18.75","18.81","18.90","18.56","260.63K","-0.27%"
"03/05/2025","18.80","18.80","19.14","18.75","821.37K","0.00%"
"03/04/2025","18.80","18.52","18.89","18.40","290.31K","1.95%"
"03/03/2025","18.44","18.36","18.55","18.35","83.86K","0.49%"
"03/02/2025","18.35","18.49","18.65","18.20","91.59K","-0.43%"
"02/27/2025","18.43","18.47","18.60","18.40","127.14K","0.05%"
"02/26/2025","18.42","18.59","18.59","18.33","113.62K","-0.59%"
"02/25/2025","18.53","18.67","18.67","18.47","144.23K","-0.80%"
"02/24/2025","18.68","18.73","18.79","18.45","232.20K","-0.21%"
"02/23/2025","18.72","18.30","18.75","18.27","590.40K","2.91%"
"02/20/2025","18.19","18.25","18.31","18.05","136.34K","0.06%"
"02/19/2025","18.18","18.16","18.27","18.05","154.20K","0.55%"
"02/18/2025","18.08","18.30","18.30","17.96","177.32K","0.11%"
"02/17/2025","18.06","18.18","18.54","18.00","404.78K","-0.11%"
"02/16/2025","18.08","17.90","18.10","17.85","202.86K","1.23%"
"02/13/2025","17.86","17.95","18.22","17.55","338.92K","1.53%"
"02/12/2025","17.59","18.00","18.00","15.56","409.53K","-2.17%"
"02/11/2025","17.98","18.41","18.57","17.90","251.16K","-1.96%"
"02/10/2025","18.34","18.45","18.69","18.30","126.91K","-0.65%"
"02/09/2025","18.46","18.62","18.88","18.45","279.84K","-0.27%"
"02/06/2025","18.51","18.35","18.60","18.35","117.52K","0.87%"
"02/05/2025","18.35","18.59","18.60","18.20","338.09K","-1.34%"
"02/04/2025","18.60","18.21","18.73","18.15","232.13K","2.71%"
"02/03/2025","18.11","18.59","18.65","18.01","258.96K","-2.00%"
"02/02/2025","18.48","18.65","18.74","18.46","247.00K","-0.75%"
"01/30/2025","18.62","18.49","18.70","18.41","170.30K","1.25%"
"01/29/2025","18.39","18.70","18.90","18.20","438.94K","-0.86%"
"01/28/2025","18.55","18.75","19.00","18.55","545.72K","-1.01%"
"01/27/2025","18.74","19.10","19.30","18.70","462.25K","-0.32%"
"01/26/2025","18.80","19.90","19.94","18.75","1.09M","-4.08%"
"01/23/2025","19.60","19.37","19.95","19.26","1.15M","1.40%"
"01/22/2025","19.33","19.49","19.50","19.17","792.94K","0.10%"
"01/21/2025","19.31","20.00","20.00","18.80","902.87K","-4.26%"
"01/20/2025","20.17","18.30","20.20","18.08","441.40K","10.16%"
"01/19/2025","18.31","18.27","18.63","18.15","216.44K","0.60%"
"01/16/2025","18.20","18.40","18.68","18.20","136.54K","-0.05%"
"01/15/2025","18.21","18.49","18.90","18.00","173.20K","-1.51%"
"01/14/2025","18.49","19.00","19.00","17.20","204.83K","-2.01%"
"01/13/2025","18.87","19.30","19.60","18.75","811.12K","-1.97%"
"01/12/2025","19.25","17.95","19.75","17.85","1.19M","7.06%"
"01/09/2025","17.98","18.00","18.19","17.85","62.24K","-0.11%"
"01/08/2025","18.00","18.10","18.40","17.91","177.74K","-0.33%"
"01/06/2025","18.06","18.52","18.60","18.00","95.83K","-1.95%"
"01/05/2025","18.42","18.50","18.80","18.40","93.04K","-0.22%"
"01/02/2025","18.46","18.20","18.85","18.20","282.09K","1.54%"
"12/31/2024","18.18","17.70","18.60","17.55","242.62K","2.89%"
"12/30/2024","17.67","17.80","18.10","17.50","112.18K","-0.11%"
"12/29/2024","17.69","17.50","17.86","17.31","66.29K","1.38%"
"12/26/2024","17.45","17.49","17.75","17.20","39.83K","-0.91%"
"12/25/2024","17.61","17.15","17.88","17.15","88.33K","2.92%"
"12/24/2024","17.11","17.19","17.20","16.80","37.35K","-0.58%"
"12/23/2024","17.21","17.58","17.77","17.11","51.97K","-2.82%"
"12/22/2024","17.71","17.85","17.85","17.60","68.48K","0.85%"
"12/19/2024","17.56","17.60","17.89","17.00","108.54K","-1.13%"
"12/18/2024","17.76","17.91","18.00","17.60","48.08K","-0.78%"
"12/17/2024","17.90","18.35","18.35","17.86","107.02K","-1.81%"
"12/16/2024","18.23","18.39","18.48","17.90","1.41M","-0.49%"
"12/15/2024","18.32","18.27","18.50","18.27","29.94K","0.38%"
"12/12/2024","18.25","18.25","18.50","18.22","38.81K","-0.38%"
"12/11/2024","18.32","18.47","18.75","18.20","28.91K","0.05%"
"12/10/2024","18.31","18.42","18.70","18.25","339.62K","-1.19%"
"12/09/2024","18.53","18.76","18.90","18.42","369.40K","-1.44%"
"12/08/2024","18.80","18.81","18.99","18.70","62.48K","-0.63%"
"12/05/2024","18.92","19.00","19.00","18.70","416.69K","0.11%"
"12/04/2024","18.90","18.58","19.01","18.55","608.35K","1.94%"
"12/03/2024","18.54","18.26","19.07","18.15","329.81K","1.59%"
"12/02/2024","18.25","18.50","18.77","18.20","2.06M","-0.54%"
"12/01/2024","18.35","19.00","19.00","18.33","115.83K","-2.65%"
"11/28/2024","18.85","18.70","19.00","18.34","71.81K","-0.74%"
