"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","476.71","478.50","482.00","476.71","49.77K","-0.27%"
"11/30/2025","478.00","482.00","484.90","475.00","247.45K","-0.55%"
"11/27/2025","480.62","484.00","485.00","478.00","50.73K","-0.72%"
"11/26/2025","484.11","479.00","484.97","475.02","226.52K","1.33%"
"11/25/2025","477.74","472.80","510.98","471.00","733.91K","2.74%"
"11/24/2025","465.00","493.00","494.00","465.00","909.93K","-5.68%"
"11/23/2025","493.00","486.86","500.00","486.01","205.21K","1.26%"
"11/20/2025","486.86","490.00","491.50","485.00","70.92K","-0.23%"
"11/19/2025","488.00","491.00","494.50","482.00","92.12K","-0.42%"
"11/18/2025","490.05","502.99","506.90","490.00","213.06K","-2.57%"
"11/17/2025","503.00","505.00","509.80","502.01","103.42K","-0.40%"
"11/16/2025","505.00","495.01","513.00","495.01","397.66K","3.48%"
"11/13/2025","488.00","486.00","493.50","486.00","79.03K","0.60%"
"11/12/2025","485.10","490.00","495.00","485.10","181.19K","-0.39%"
"11/11/2025","486.99","499.00","506.00","485.00","430.64K","-2.60%"
"11/10/2025","500.00","485.20","504.00","485.02","952.07K","3.09%"
"11/09/2025","485.00","481.00","485.00","476.15","220.88K","1.49%"
"11/06/2025","477.90","466.00","479.00","466.00","243.93K","2.58%"
"11/05/2025","465.90","468.98","469.88","457.01","82.42K","-0.02%"
"11/04/2025","466.00","471.07","473.99","461.03","179.27K","-1.06%"
"11/03/2025","471.00","472.00","474.80","468.52","197.62K","-0.21%"
"11/02/2025","472.00","474.80","477.40","468.00","64.98K","0.43%"
"10/30/2025","470.00","468.99","475.00","468.70","189.00K","0.64%"
"10/29/2025","467.01","460.90","470.00","459.00","303.97K","1.32%"
"10/28/2025","460.93","461.21","464.80","445.00","177.01K","-0.05%"
"10/27/2025","461.15","463.00","468.99","459.00","102.30K","-0.40%"
"10/26/2025","463.00","461.50","472.50","461.00","91.38K","0.60%"
"10/23/2025","460.25","469.00","469.40","460.00","234.76K","-1.66%"
"10/22/2025","468.01","468.00","469.40","462.00","28.00K","0.00%"
"10/21/2025","467.99","472.05","477.94","461.12","157.26K","-0.85%"
"10/20/2025","472.00","476.49","479.00","466.11","79.45K","-0.84%"
"10/19/2025","475.98","475.01","480.00","470.26","202.72K","0.63%"
"10/16/2025","473.00","476.00","481.00","466.00","132.52K","-0.31%"
"10/15/2025","474.49","466.01","479.00","464.00","141.10K","1.82%"
"10/14/2025","466.00","477.00","479.85","461.52","310.72K","-2.10%"
"10/13/2025","476.00","469.06","483.00","469.06","316.02K","1.48%"
"10/12/2025","469.05","451.01","479.00","448.00","418.60K","4.23%"
"10/08/2025","450.00","439.96","453.99","435.05","147.99K","2.27%"
"10/07/2025","440.00","446.00","447.90","436.10","63.40K","-1.32%"
"10/06/2025","445.90","428.00","447.75","428.00","371.98K","4.18%"
"10/05/2025","427.99","422.00","428.90","421.00","233.61K","1.66%"
"10/02/2025","421.00","420.10","427.00","420.00","101.17K","-0.47%"
"10/01/2025","423.00","421.00","425.00","417.50","123.46K","0.70%"
"09/30/2025","420.05","428.00","430.00","417.50","317.92K","-1.86%"
"09/29/2025","427.99","432.00","434.98","424.11","365.74K","-0.74%"
"09/28/2025","431.18","427.00","433.00","425.00","144.61K","1.38%"
"09/25/2025","425.30","434.08","435.60","425.30","187.54K","-1.89%"
"09/24/2025","433.51","441.00","445.00","430.25","164.75K","-1.70%"
"09/23/2025","441.00","440.00","446.00","440.00","303.39K","0.50%"
"09/22/2025","438.80","459.50","459.59","436.00","622.29K","-1.61%"
"09/21/2025","446.00","430.30","449.99","430.30","359.06K","3.75%"
"09/18/2025","429.90","412.01","430.00","409.50","337.22K","3.98%"
"09/17/2025","413.44","413.00","416.00","406.50","123.78K","0.08%"
"09/16/2025","413.10","420.00","424.99","402.20","477.51K","-2.56%"
"09/15/2025","423.95","420.00","435.00","415.30","440.97K","1.18%"
"09/14/2025","418.99","404.90","419.00","403.99","323.98K","4.75%"
"09/11/2025","400.00","396.00","413.00","396.00","659.79K","1.41%"
"09/10/2025","394.45","394.00","395.00","390.00","194.76K","0.63%"
"09/09/2025","392.00","392.00","395.90","391.00","83.21K","0.00%"
"09/08/2025","392.00","394.99","396.00","392.00","96.77K","-0.35%"
"09/07/2025","393.38","395.00","398.00","393.00","205.56K","-0.08%"
"09/03/2025","393.70","398.85","399.75","393.70","157.07K","-0.73%"
"09/02/2025","396.60","404.90","409.94","396.60","148.17K","-2.07%"
"09/01/2025","405.00","399.00","407.00","391.01","204.76K","1.25%"
"08/31/2025","400.00","391.11","408.00","390.00","479.31K","2.57%"
"08/28/2025","389.99","388.74","389.99","386.05","94.48K","0.51%"
"08/27/2025","388.00","381.00","390.30","380.01","229.80K","2.11%"
"08/26/2025","380.00","385.25","385.54","379.00","53.01K","-1.44%"
"08/25/2025","385.54","386.00","386.00","382.02","219.91K","-0.12%"
"08/24/2025","386.00","382.00","386.00","379.01","18.12K","1.05%"
"08/21/2025","382.00","380.50","384.99","377.00","76.05K","0.39%"
"08/20/2025","380.50","385.16","388.00","377.14","153.72K","-1.19%"
"08/19/2025","385.10","392.00","392.00","385.10","198.60K","-2.01%"
"08/18/2025","393.00","394.99","395.00","385.20","56.26K","-0.51%"
"08/17/2025","395.00","392.00","395.90","387.01","34.84K","0.25%"
"08/14/2025","394.00","389.50","394.00","386.00","43.96K","1.16%"
"08/13/2025","389.50","392.00","393.75","385.80","125.67K","-0.89%"
"08/12/2025","392.98","392.90","396.00","390.00","263.73K","-0.01%"
"08/11/2025","393.00","387.00","393.00","385.10","109.22K","1.50%"
"08/10/2025","387.19","385.02","388.95","385.01","47.59K","0.31%"
"08/07/2025","386.00","387.02","391.75","384.50","96.62K","-2.09%"
"08/06/2025","394.25","391.50","398.80","389.01","463.79K","1.09%"
"08/05/2025","390.00","390.00","392.00","389.00","114.59K","0.26%"
"08/04/2025","389.00","393.99","394.99","386.21","76.36K","-1.27%"
"08/03/2025","393.99","393.99","396.90","389.00","44.47K","0.00%"
"07/31/2025","393.99","393.00","395.00","388.00","267.34K","-0.26%"
"07/30/2025","395.00","383.25","400.00","383.25","511.13K","3.07%"
"07/29/2025","383.25","389.00","389.87","374.20","380.66K","-0.72%"
"07/28/2025","386.01","393.98","394.89","385.11","202.02K","-2.02%"
"07/27/2025","393.98","395.00","396.00","385.01","136.71K","0.05%"
"07/23/2025","393.80","384.00","396.99","380.13","848.55K","3.60%"
"07/22/2025","380.10","378.50","387.99","377.50","167.62K","0.48%"
"07/21/2025","378.27","385.00","391.00","377.30","202.52K","-1.75%"
"07/20/2025","385.00","374.99","385.00","373.00","226.99K","2.67%"
"07/17/2025","374.99","376.00","377.99","371.01","367.58K","0.15%"
"07/16/2025","374.44","380.11","391.00","371.11","356.72K","-0.94%"
"07/15/2025","378.00","375.50","382.00","372.50","308.28K","1.61%"
"07/14/2025","372.02","359.60","379.98","358.02","446.04K","3.35%"
"07/13/2025","359.97","362.00","365.00","357.00","217.47K","-0.01%"
"07/10/2025","360.02","355.00","365.00","355.00","327.93K","1.42%"
"07/09/2025","354.99","357.00","359.00","354.99","334.70K","-1.11%"
"07/07/2025","358.98","358.51","362.00","355.21","180.00K","0.00%"
"07/06/2025","358.97","360.00","363.00","352.00","324.13K","1.12%"
"07/02/2025","355.00","350.00","362.99","341.21","1.70M","4.41%"
"07/01/2025","340.00","331.00","341.00","325.03","502.39K","2.72%"
"06/30/2025","331.00","328.00","336.70","325.02","623.30K","0.61%"
"06/29/2025","328.98","317.20","333.00","317.20","639.43K","4.44%"
