"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","0.573","0.559","0.576","0.557","83.99M","3.06%"
"11/30/2025","0.556","0.547","0.557","0.540","52.84M","2.58%"
"11/27/2025","0.542","0.539","0.550","0.538","29.70M","0.56%"
"11/26/2025","0.539","0.545","0.550","0.530","32.47M","-1.28%"
"11/25/2025","0.546","0.558","0.566","0.544","41.31M","-2.15%"
"11/24/2025","0.558","0.565","0.565","0.555","22.68M","-0.36%"
"11/23/2025","0.560","0.560","0.565","0.552","45.69M","0.36%"
"11/20/2025","0.558","0.603","0.604","0.556","134.74M","-7.00%"
"11/19/2025","0.600","0.607","0.613","0.599","12.57M","-0.99%"
"11/18/2025","0.606","0.615","0.620","0.606","13.08M","-1.78%"
"11/17/2025","0.617","0.623","0.624","0.613","23.11M","-0.80%"
"11/16/2025","0.622","0.624","0.626","0.621","24.89M","0.00%"
"11/13/2025","0.622","0.633","0.633","0.622","29.61M","-1.11%"
"11/12/2025","0.629","0.624","0.638","0.623","20.60M","0.96%"
"11/11/2025","0.623","0.627","0.630","0.622","21.39M","-0.64%"
"11/10/2025","0.627","0.634","0.635","0.624","26.70M","-1.10%"
"11/09/2025","0.634","0.640","0.641","0.631","16.92M","-0.63%"
"11/06/2025","0.638","0.640","0.641","0.632","22.78M","0.00%"
"11/05/2025","0.638","0.641","0.644","0.636","20.36M","-0.31%"
"11/04/2025","0.640","0.643","0.645","0.637","19.16M","-0.31%"
"11/03/2025","0.642","0.641","0.647","0.635","43.10M","0.31%"
"11/02/2025","0.640","0.652","0.655","0.639","28.83M","-1.69%"
"10/30/2025","0.651","0.657","0.660","0.650","9.91M","-0.76%"
"10/29/2025","0.656","0.658","0.664","0.653","24.83M","0.15%"
"10/28/2025","0.655","0.660","0.663","0.655","35.87M","-0.76%"
"10/27/2025","0.660","0.668","0.673","0.658","60.89M","-1.05%"
"10/26/2025","0.667","0.658","0.672","0.658","84.05M","1.99%"
"10/23/2025","0.654","0.647","0.657","0.644","26.09M","1.71%"
"10/22/2025","0.643","0.653","0.658","0.643","33.12M","-1.53%"
"10/21/2025","0.653","0.666","0.667","0.650","40.60M","-1.66%"
"10/20/2025","0.664","0.670","0.673","0.661","19.69M","-0.45%"
"10/19/2025","0.667","0.667","0.671","0.659","30.30M","0.91%"
"10/16/2025","0.661","0.665","0.673","0.660","58.36M","-0.45%"
"10/15/2025","0.664","0.660","0.667","0.656","44.52M","0.76%"
"10/14/2025","0.659","0.651","0.676","0.650","117.58M","1.38%"
"10/13/2025","0.650","0.643","0.655","0.643","26.94M","1.56%"
"10/12/2025","0.640","0.652","0.656","0.638","44.08M","-1.54%"
"10/08/2025","0.650","0.658","0.661","0.647","19.56M","-1.22%"
"10/07/2025","0.658","0.659","0.666","0.656","13.66M","0.00%"
"10/06/2025","0.658","0.665","0.666","0.658","21.31M","-0.30%"
"10/05/2025","0.660","0.661","0.671","0.660","29.31M","0.00%"
"10/02/2025","0.660","0.680","0.680","0.657","94.21M","-2.94%"
"10/01/2025","0.680","0.650","0.685","0.648","157.06M","4.94%"
"09/30/2025","0.648","0.658","0.659","0.647","35.67M","-1.22%"
"09/29/2025","0.656","0.672","0.673","0.656","46.94M","-2.09%"
"09/28/2025","0.670","0.664","0.670","0.659","39.70M","1.21%"
"09/25/2025","0.662","0.671","0.672","0.659","74.29M","-0.90%"
"09/24/2025","0.668","0.664","0.669","0.658","43.48M","1.21%"
"09/23/2025","0.660","0.668","0.690","0.660","182.90M","-1.64%"
"09/22/2025","0.671","0.675","0.685","0.668","54.05M","-0.30%"
"09/21/2025","0.673","0.683","0.685","0.670","42.10M","-1.17%"
"09/18/2025","0.681","0.703","0.707","0.675","137.69M","-2.85%"
"09/17/2025","0.701","0.682","0.710","0.670","130.54M","2.79%"
"09/16/2025","0.682","0.706","0.710","0.678","104.80M","-2.71%"
"09/15/2025","0.701","0.706","0.716","0.696","154.02M","0.14%"
"09/14/2025","0.700","0.684","0.705","0.679","269.61M","2.94%"
"09/11/2025","0.680","0.673","0.682","0.670","78.42M","1.49%"
"09/10/2025","0.670","0.670","0.676","0.667","50.68M","-0.59%"
"09/09/2025","0.674","0.697","0.703","0.672","137.61M","-2.32%"
"09/08/2025","0.690","0.671","0.692","0.664","168.45M","3.92%"
"09/07/2025","0.664","0.664","0.668","0.652","55.33M","0.15%"
"09/03/2025","0.663","0.671","0.677","0.657","86.12M","-1.19%"
"09/02/2025","0.671","0.678","0.684","0.669","40.95M","-0.59%"
"09/01/2025","0.675","0.670","0.680","0.661","36.48M","0.75%"
"08/31/2025","0.670","0.693","0.702","0.651","89.78M","-2.90%"
"08/28/2025","0.690","0.702","0.710","0.688","60.52M","-1.43%"
"08/27/2025","0.700","0.688","0.715","0.676","238.20M","2.34%"
"08/26/2025","0.684","0.668","0.690","0.660","142.47M","2.09%"
"08/25/2025","0.670","0.679","0.683","0.667","40.93M","-0.74%"
"08/24/2025","0.675","0.686","0.690","0.675","32.24M","-1.32%"
"08/21/2025","0.684","0.698","0.703","0.683","58.30M","-1.44%"
"08/20/2025","0.694","0.706","0.714","0.693","112.50M","-1.28%"
"08/19/2025","0.703","0.688","0.710","0.684","177.17M","2.33%"
"08/18/2025","0.687","0.675","0.695","0.671","151.49M","2.38%"
"08/17/2025","0.671","0.670","0.678","0.665","94.47M","0.75%"
"08/14/2025","0.666","0.664","0.666","0.645","73.16M","0.91%"
"08/13/2025","0.660","0.682","0.696","0.660","100.86M","-2.94%"
"08/12/2025","0.680","0.684","0.687","0.672","81.94M","-0.44%"
"08/11/2025","0.683","0.710","0.719","0.681","159.29M","-3.67%"
"08/10/2025","0.709","0.718","0.725","0.709","71.69M","-0.42%"
"08/07/2025","0.712","0.720","0.731","0.711","130.17M","-0.28%"
"08/06/2025","0.714","0.726","0.737","0.700","172.95M","-1.52%"
"08/05/2025","0.725","0.754","0.757","0.724","179.71M","-3.46%"
"08/04/2025","0.751","0.740","0.753","0.729","154.01M","2.46%"
"08/03/2025","0.733","0.754","0.754","0.728","189.77M","-3.04%"
"07/31/2025","0.756","0.756","0.770","0.735","198.68M","2.30%"
"07/30/2025","0.739","0.819","0.820","0.715","360.39M","-9.33%"
"07/29/2025","0.815","0.786","0.820","0.782","217.38M","3.82%"
"07/28/2025","0.785","0.812","0.820","0.785","205.16M","-3.09%"
"07/27/2025","0.810","0.779","0.814","0.773","274.07M","4.11%"
"07/23/2025","0.778","0.720","0.783","0.717","488.70M","8.51%"
"07/22/2025","0.717","0.685","0.717","0.679","253.33M","5.44%"
"07/21/2025","0.680","0.690","0.715","0.678","305.54M","-0.73%"
"07/20/2025","0.685","0.643","0.690","0.638","338.10M","7.20%"
"07/17/2025","0.639","0.644","0.646","0.634","66.65M","0.47%"
"07/16/2025","0.636","0.642","0.650","0.632","101.71M","-0.47%"
"07/15/2025","0.639","0.645","0.651","0.634","179.79M","-0.47%"
"07/14/2025","0.642","0.656","0.667","0.642","132.84M","-1.68%"
"07/13/2025","0.653","0.630","0.664","0.630","283.15M","4.82%"
"07/10/2025","0.623","0.621","0.628","0.619","80.94M","0.65%"
"07/09/2025","0.619","0.636","0.649","0.617","91.28M","-2.98%"
"07/07/2025","0.638","0.640","0.659","0.632","226.55M","0.63%"
"07/06/2025","0.634","0.662","0.664","0.629","178.67M","-3.06%"
"07/02/2025","0.654","0.647","0.681","0.622","405.81M","4.98%"
"07/01/2025","0.623","0.590","0.626","0.590","482.99M","6.50%"
"06/30/2025","0.585","0.574","0.593","0.568","330.63M","2.63%"
"06/29/2025","0.570","0.546","0.575","0.545","375.68M","5.56%"
"06/25/2025","0.540","0.545","0.553","0.540","228.77M","-0.18%"
"06/24/2025","0.541","0.525","0.548","0.517","488.65M","5.05%"
"06/23/2025","0.515","0.516","0.525","0.511","260.92M","0.78%"
"06/22/2025","0.511","0.482","0.511","0.482","80.57M","4.07%"
"06/19/2025","0.491","0.499","0.525","0.491","161.50M","-1.41%"
"06/18/2025","0.498","0.491","0.499","0.475","54.35M","1.43%"
"06/17/2025","0.491","0.515","0.523","0.485","77.93M","-4.66%"
"06/16/2025","0.515","0.514","0.530","0.512","79.25M","0.19%"
"06/15/2025","0.514","0.480","0.516","0.473","122.84M","-3.56%"
"06/12/2025","0.533","0.551","0.552","0.526","182.68M","-3.27%"
"06/11/2025","0.551","0.578","0.580","0.550","251.26M","-4.51%"
"06/10/2025","0.577","0.567","0.577","0.556","175.71M","3.59%"
"06/04/2025","0.557","0.519","0.560","0.518","310.48M","8.16%"
"06/03/2025","0.515","0.509","0.515","0.507","68.51M","1.98%"
"06/02/2025","0.505","0.506","0.513","0.490","60.77M","-0.20%"
"06/01/2025","0.506","0.507","0.517","0.499","59.96M","1.20%"
"05/29/2025","0.500","0.506","0.511","0.498","45.90M","-1.19%"
"05/28/2025","0.506","0.517","0.520","0.505","83.75M","-0.78%"
"05/27/2025","0.510","0.510","0.517","0.507","90.22M","0.00%"
"05/26/2025","0.510","0.526","0.529","0.510","102.21M","-1.92%"
"05/25/2025","0.520","0.509","0.520","0.507","111.59M","2.77%"
"05/22/2025","0.506","0.491","0.515","0.490","208.75M","4.33%"
"05/21/2025","0.485","0.485","0.490","0.481","35.19M","0.62%"
"05/20/2025","0.482","0.479","0.486","0.474","65.99M","1.26%"
"05/19/2025","0.476","0.473","0.480","0.471","25.23M","1.06%"
"05/18/2025","0.471","0.495","0.497","0.471","35.71M","-4.27%"
"05/15/2025","0.492","0.508","0.508","0.492","37.67M","-2.57%"
"05/14/2025","0.505","0.510","0.514","0.504","60.83M","-0.39%"
"05/13/2025","0.507","0.506","0.520","0.505","98.31M","0.80%"
"05/12/2025","0.503","0.500","0.510","0.490","104.56M","0.60%"
"05/11/2025","0.500","0.491","0.511","0.488","86.36M","2.04%"
"05/08/2025","0.490","0.490","0.495","0.475","86.94M","0.41%"
"05/07/2025","0.488","0.496","0.515","0.487","151.78M","-2.59%"
"05/06/2025","0.501","0.487","0.507","0.479","172.04M","3.09%"
"05/05/2025","0.486","0.475","0.495","0.473","144.49M","2.10%"
"05/04/2025","0.476","0.480","0.483","0.471","120.24M","0.00%"
"04/30/2025","0.476","0.438","0.478","0.436","486.24M","9.43%"
"04/29/2025","0.435","0.450","0.452","0.435","80.65M","-2.90%"
"04/28/2025","0.448","0.447","0.456","0.444","128.00M","0.45%"
"04/27/2025","0.446","0.443","0.450","0.443","43.47M","1.36%"
"04/23/2025","0.440","0.445","0.452","0.439","112.29M","-0.90%"
"04/22/2025","0.444","0.436","0.455","0.432","106.91M","1.60%"
"04/17/2025","0.437","0.437","0.445","0.430","40.01M","0.46%"
"04/16/2025","0.435","0.430","0.442","0.427","72.85M","1.87%"
"04/15/2025","0.427","0.439","0.450","0.427","107.53M","-2.51%"
"04/14/2025","0.438","0.425","0.440","0.422","93.08M","4.29%"
"04/13/2025","0.420","0.419","0.430","0.419","59.46M","1.20%"
"04/10/2025","0.415","0.415","0.423","0.405","79.34M","2.98%"
"04/09/2025","0.403","0.406","0.408","0.390","74.50M","-0.98%"
"04/08/2025","0.407","0.417","0.419","0.404","61.08M","-0.73%"
"04/07/2025","0.410","0.401","0.416","0.395","41.56M","0.49%"
"04/06/2025","0.408","0.410","0.419","0.393","62.83M","-7.06%"
"04/03/2025","0.439","0.441","0.459","0.434","75.11M","-1.57%"
"03/27/2025","0.446","0.440","0.458","0.435","179.28M","-0.22%"
"03/26/2025","0.447","0.452","0.461","0.438","147.90M","-1.76%"
"03/25/2025","0.455","0.423","0.456","0.421","365.72M","9.64%"
"03/24/2025","0.415","0.423","0.434","0.403","132.98M","-1.19%"
"03/23/2025","0.420","0.405","0.425","0.405","141.83M","4.48%"
"03/20/2025","0.402","0.394","0.407","0.391","124.01M","3.88%"
"03/19/2025","0.387","0.383","0.400","0.373","71.93M","1.31%"
"03/18/2025","0.382","0.385","0.385","0.381","13.34M","0.26%"
"03/17/2025","0.381","0.386","0.388","0.380","21.90M","-0.78%"
"03/16/2025","0.384","0.390","0.393","0.384","31.32M","-1.03%"
"03/13/2025","0.388","0.389","0.397","0.388","32.24M","0.52%"
"03/12/2025","0.386","0.386","0.391","0.385","17.49M","0.52%"
"03/11/2025","0.384","0.387","0.388","0.380","17.11M","-1.03%"
"03/10/2025","0.388","0.391","0.399","0.388","67.35M","-0.51%"
"03/09/2025","0.390","0.392","0.394","0.384","85.11M","-0.26%"
"03/06/2025","0.391","0.397","0.397","0.387","36.96M","-0.26%"
"03/05/2025","0.392","0.409","0.409","0.380","100.68M","-3.45%"
"03/04/2025","0.406","0.424","0.424","0.404","43.61M","-3.33%"
"03/03/2025","0.420","0.423","0.426","0.419","27.91M","-0.71%"
"03/02/2025","0.423","0.425","0.430","0.423","6.99M","-0.24%"
"02/27/2025","0.424","0.436","0.437","0.422","65.96M","-2.75%"
"02/26/2025","0.436","0.432","0.449","0.431","141.75M","1.16%"
"02/25/2025","0.431","0.436","0.440","0.430","35.32M","-1.15%"
"02/24/2025","0.436","0.438","0.444","0.435","37.05M","0.00%"
"02/23/2025","0.436","0.424","0.441","0.424","99.16M","2.83%"
"02/20/2025","0.424","0.421","0.426","0.419","29.28M","0.71%"
"02/19/2025","0.421","0.422","0.433","0.419","51.55M","0.00%"
"02/18/2025","0.421","0.421","0.427","0.419","31.49M","0.48%"
"02/17/2025","0.419","0.422","0.425","0.417","64.86M","-0.24%"
"02/16/2025","0.420","0.422","0.429","0.419","41.39M","-0.24%"
"02/13/2025","0.421","0.413","0.430","0.407","97.08M","3.19%"
"02/12/2025","0.408","0.408","0.412","0.390","41.81M","1.24%"
"02/11/2025","0.403","0.440","0.446","0.403","182.07M","-5.62%"
"02/10/2025","0.427","0.415","0.432","0.412","105.17M","3.64%"
"02/09/2025","0.412","0.424","0.425","0.412","40.29M","-2.14%"
"02/06/2025","0.421","0.428","0.435","0.421","79.64M","1.20%"
"02/05/2025","0.416","0.423","0.423","0.413","27.59M","-0.72%"
"02/04/2025","0.419","0.423","0.431","0.417","59.69M","-1.18%"
"02/03/2025","0.424","0.435","0.438","0.420","36.26M","-2.30%"
"02/02/2025","0.434","0.455","0.455","0.432","50.54M","-4.62%"
"01/30/2025","0.455","0.472","0.472","0.454","48.75M","-3.40%"
"01/29/2025","0.471","0.465","0.479","0.458","97.52M","1.51%"
"01/28/2025","0.464","0.464","0.470","0.456","46.01M","0.87%"
"01/27/2025","0.460","0.464","0.473","0.454","124.31M","-0.22%"
"01/26/2025","0.461","0.467","0.480","0.457","121.60M","-0.86%"
"01/23/2025","0.465","0.484","0.484","0.460","70.26M","-3.33%"
"01/22/2025","0.481","0.460","0.492","0.458","264.23M","4.57%"
"01/21/2025","0.460","0.455","0.461","0.452","32.98M","1.32%"
"01/20/2025","0.454","0.470","0.475","0.454","84.31M","-3.40%"
"01/19/2025","0.470","0.440","0.475","0.434","205.03M","6.82%"
"01/16/2025","0.440","0.434","0.444","0.430","50.37M","1.62%"
"01/15/2025","0.433","0.452","0.453","0.425","122.14M","-3.78%"
"01/14/2025","0.450","0.424","0.450","0.414","157.32M","6.13%"
"01/13/2025","0.424","0.421","0.440","0.420","70.84M","-1.17%"
"01/12/2025","0.429","0.427","0.436","0.419","44.11M","0.23%"
"01/09/2025","0.428","0.428","0.438","0.425","171.28M","1.18%"
"01/08/2025","0.423","0.420","0.427","0.411","119.45M","1.44%"
"01/06/2025","0.417","0.401","0.427","0.401","246.32M","4.51%"
"01/05/2025","0.399","0.396","0.401","0.395","57.53M","1.27%"
"01/02/2025","0.394","0.391","0.403","0.391","45.36M","1.03%"
"12/31/2024","0.390","0.393","0.394","0.388","69.43M","0.00%"
"12/30/2024","0.390","0.406","0.415","0.385","115.35M","-3.47%"
"12/29/2024","0.404","0.405","0.413","0.400","89.86M","1.00%"
"12/26/2024","0.400","0.408","0.414","0.399","60.20M","-1.96%"
"12/25/2024","0.408","0.425","0.428","0.408","131.93M","-3.32%"
"12/24/2024","0.422","0.408","0.424","0.401","187.51M","3.94%"
"12/23/2024","0.406","0.407","0.419","0.398","195.70M","-0.98%"
"12/22/2024","0.410","0.372","0.410","0.372","232.12M","10.51%"
"12/19/2024","0.371","0.370","0.378","0.360","32.49M","-0.80%"
"12/18/2024","0.374","0.398","0.401","0.374","61.49M","-4.83%"
"12/17/2024","0.393","0.391","0.410","0.390","131.06M","0.26%"
"12/16/2024","0.392","0.409","0.413","0.392","66.70M","-3.45%"
"12/15/2024","0.406","0.404","0.419","0.400","172.13M","1.25%"
"12/12/2024","0.401","0.394","0.414","0.386","222.72M","2.30%"
"12/11/2024","0.392","0.372","0.398","0.369","277.06M","6.23%"
"12/10/2024","0.369","0.367","0.375","0.362","82.29M","0.54%"
"12/09/2024","0.367","0.359","0.380","0.359","47.54M","2.51%"
"12/08/2024","0.358","0.356","0.361","0.353","13.87M","0.56%"
"12/05/2024","0.356","0.360","0.362","0.356","19.32M","-1.11%"
"12/04/2024","0.360","0.363","0.363","0.357","29.83M","0.00%"
"12/03/2024","0.360","0.362","0.365","0.356","15.32M","-0.83%"
"12/02/2024","0.363","0.363","0.368","0.359","42.60M","0.55%"
"12/01/2024","0.361","0.350","0.362","0.348","30.39M","3.74%"
"11/28/2024","0.348","0.354","0.357","0.348","26.76M","-2.25%"
"11/27/2024","0.356","0.365","0.366","0.353","43.63M","-1.66%"
"11/26/2024","0.362","0.377","0.381","0.362","53.40M","-3.47%"
"11/25/2024","0.375","0.369","0.384","0.368","141.35M","2.46%"
"11/24/2024","0.366","0.350","0.366","0.346","54.47M","5.17%"
"11/21/2024","0.348","0.348","0.355","0.345","18.18M","0.58%"
"11/20/2024","0.346","0.367","0.367","0.346","32.00M","-2.54%"
"11/19/2024","0.355","0.348","0.355","0.339","37.83M","2.01%"
"11/18/2024","0.348","0.364","0.364","0.347","25.16M","-3.33%"
"11/17/2024","0.360","0.365","0.369","0.360","12.08M","-1.64%"
"11/14/2024","0.366","0.371","0.371","0.366","14.55M","-1.08%"
"11/13/2024","0.370","0.368","0.370","0.365","26.15M","0.54%"
"11/12/2024","0.368","0.373","0.379","0.365","49.05M","-1.08%"
"11/11/2024","0.372","0.375","0.376","0.366","27.74M","0.27%"
"11/10/2024","0.371","0.367","0.377","0.367","53.64M","1.64%"
"11/07/2024","0.365","0.374","0.379","0.360","83.83M","-1.35%"
"11/06/2024","0.370","0.348","0.397","0.346","339.25M","10.12%"
"11/05/2024","0.336","0.341","0.341","0.335","9.86M","-0.88%"
"11/04/2024","0.339","0.343","0.344","0.339","35.54M","-0.59%"
"11/03/2024","0.341","0.340","0.346","0.339","25.25M","0.29%"
"10/31/2024","0.340","0.340","0.344","0.336","9.92M","-1.45%"
"10/30/2024","0.345","0.342","0.345","0.333","29.03M","1.47%"
"10/29/2024","0.340","0.348","0.348","0.337","31.73M","-1.16%"
"10/28/2024","0.344","0.335","0.344","0.328","74.21M","3.93%"
"10/27/2024","0.331","0.334","0.339","0.329","24.64M","0.61%"
"10/24/2024","0.329","0.315","0.331","0.314","38.39M","5.11%"
"10/23/2024","0.313","0.310","0.323","0.308","13.82M","1.29%"
"10/22/2024","0.309","0.310","0.310","0.304","12.19M","1.31%"
"10/21/2024","0.305","0.304","0.306","0.300","7.24M","1.33%"
"10/20/2024","0.301","0.308","0.308","0.300","10.17M","-2.27%"
