"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","25.20","25.20","25.98","25.03","3.98M","0.00%"
"11/30/2025","25.20","25.11","25.36","24.90","1.83M","0.76%"
"11/27/2025","25.01","25.20","25.40","24.95","801.00K","-0.20%"
"11/26/2025","25.06","25.95","26.00","25.06","1.57M","-3.24%"
"11/25/2025","25.90","24.95","26.00","24.82","6.18M","3.64%"
"11/24/2025","24.99","25.40","25.47","24.70","3.61M","-1.58%"
"11/23/2025","25.39","24.90","25.50","24.85","1.97M","1.97%"
"11/20/2025","24.90","25.50","25.70","24.90","1.48M","-1.97%"
"11/19/2025","25.40","25.18","25.40","24.93","1.55M","0.87%"
"11/18/2025","25.18","25.58","25.80","24.72","2.77M","-1.06%"
"11/17/2025","25.45","24.89","25.70","24.80","3.48M","2.75%"
"11/16/2025","24.77","25.06","25.50","24.70","1.97M","-1.00%"
"11/13/2025","25.02","25.80","26.00","24.77","2.37M","-2.30%"
"11/12/2025","25.61","25.76","26.29","25.50","1.73M","-0.19%"
"11/11/2025","25.66","26.80","26.89","25.64","4.19M","-4.25%"
"11/10/2025","26.80","26.66","27.14","26.51","7.25M","1.13%"
"11/09/2025","26.50","25.70","26.50","25.36","2.76M","2.91%"
"11/06/2025","25.75","26.00","26.60","25.63","3.10M","-0.96%"
"11/05/2025","26.00","26.37","26.79","25.71","4.91M","-1.52%"
"11/04/2025","26.40","25.28","26.49","25.25","10.36M","4.43%"
"11/03/2025","25.28","25.00","25.30","24.25","3.56M","1.08%"
"11/02/2025","25.01","24.80","25.85","24.80","7.14M","1.09%"
"10/30/2025","24.74","24.85","24.95","24.65","1.76M","-0.20%"
"10/29/2025","24.79","24.61","24.90","24.23","3.77M","0.98%"
"10/28/2025","24.55","24.70","24.90","24.11","4.89M","-0.12%"
"10/27/2025","24.58","24.05","24.73","23.95","7.33M","2.85%"
"10/26/2025","23.90","23.00","24.10","23.00","9.93M","3.96%"
"10/23/2025","22.99","22.50","23.00","22.45","2.58M","2.13%"
"10/22/2025","22.51","22.67","22.71","22.45","1.53M","-0.66%"
"10/21/2025","22.66","23.11","23.18","22.65","2.73M","-1.44%"
"10/20/2025","22.99","23.10","23.19","22.69","4.13M","0.13%"
"10/19/2025","22.96","22.88","23.19","22.80","3.03M","0.70%"
"10/16/2025","22.80","22.80","22.94","22.60","3.34M","-0.04%"
"10/15/2025","22.81","23.00","23.25","22.75","6.14M","-0.70%"
"10/14/2025","22.97","22.25","22.98","22.15","10.85M","3.42%"
"10/13/2025","22.21","21.94","22.30","21.73","5.68M","1.88%"
"10/12/2025","21.80","21.20","21.90","21.16","2.92M","1.87%"
"10/08/2025","21.40","21.38","21.49","21.12","2.56M","0.42%"
"10/07/2025","21.31","21.59","21.68","21.21","1.20M","-0.88%"
"10/06/2025","21.50","21.77","21.94","21.40","2.44M","-0.88%"
"10/05/2025","21.69","21.40","21.73","21.29","962.61K","1.88%"
"10/02/2025","21.29","21.35","21.67","21.20","1.33M","-0.28%"
"10/01/2025","21.35","21.60","21.70","21.25","2.77M","-0.70%"
"09/30/2025","21.50","21.52","22.00","21.38","9.78M","0.23%"
"09/29/2025","21.45","21.40","21.52","21.21","1.84M","0.33%"
"09/28/2025","21.38","21.00","21.40","21.00","1.05M","1.81%"
"09/25/2025","21.00","20.95","21.12","20.80","1.84M","0.48%"
"09/24/2025","20.90","20.60","21.40","20.60","3.00M","1.70%"
"09/23/2025","20.55","20.90","20.90","20.55","797.57K","-2.10%"
"09/22/2025","20.99","20.77","21.00","20.38","1.28M","1.16%"
"09/21/2025","20.75","20.71","21.00","20.56","1.63M","0.19%"
"09/18/2025","20.71","20.93","21.00","20.53","1.31M","-0.43%"
"09/17/2025","20.80","21.38","21.45","20.77","2.91M","-2.35%"
"09/16/2025","21.30","22.14","22.14","21.30","1.92M","-3.18%"
"09/15/2025","22.00","22.09","22.35","21.90","2.15M","-0.05%"
"09/14/2025","22.01","21.96","22.14","21.86","522.17K","0.27%"
"09/11/2025","21.95","21.90","22.10","21.85","486.61K","0.69%"
"09/10/2025","21.80","21.87","22.15","21.75","1.41M","-0.91%"
"09/09/2025","22.00","22.10","22.40","21.70","1.65M","-0.36%"
"09/08/2025","22.08","22.20","22.46","21.93","3.44M","-0.09%"
