"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","22.79","22.79","23.11","22.60","1.49M","0.00%"
"11/30/2025","22.79","22.20","22.79","22.06","1.61M","3.59%"
"11/27/2025","22.00","22.03","22.17","21.91","475.45K","-0.14%"
"11/26/2025","22.03","22.23","22.30","22.01","349.86K","-0.23%"
"11/25/2025","22.08","22.35","22.49","22.05","693.59K","-1.16%"
"11/24/2025","22.34","22.40","22.46","22.22","1.20M","0.18%"
"11/23/2025","22.30","22.81","22.88","22.30","3.36M","-2.19%"
"11/20/2025","22.80","23.29","23.34","22.72","1.36M","-1.47%"
"11/19/2025","23.14","23.69","23.69","23.01","2.17M","-1.95%"
"11/18/2025","23.60","23.74","24.00","23.16","1.76M","-0.55%"
"11/17/2025","23.73","23.70","23.94","23.35","1.97M","0.17%"
"11/16/2025","23.69","24.32","24.40","23.69","1.97M","-2.35%"
"11/13/2025","24.26","24.60","24.74","24.20","1.73M","-1.10%"
"11/12/2025","24.53","24.74","24.90","24.46","1.41M","-0.85%"
"11/11/2025","24.74","25.01","25.11","24.66","2.14M","-0.72%"
"11/10/2025","24.92","24.54","24.95","24.40","3.78M","1.71%"
"11/09/2025","24.50","24.31","24.54","24.10","2.19M","1.03%"
"11/06/2025","24.25","24.15","24.30","23.82","1.76M","0.54%"
"11/05/2025","24.12","24.33","24.75","23.95","4.60M","-0.33%"
"11/04/2025","24.20","23.69","24.35","23.69","3.08M","2.46%"
"11/03/2025","23.62","23.58","23.90","23.32","1.05M","0.72%"
"11/02/2025","23.45","23.97","23.97","23.30","1.04M","-1.88%"
"10/30/2025","23.90","24.00","24.17","23.80","1.78M","-0.42%"
"10/29/2025","24.00","23.50","24.28","23.41","2.35M","1.48%"
"10/28/2025","23.65","23.96","24.10","23.54","1.19M","-1.29%"
"10/27/2025","23.96","24.10","24.27","23.88","1.78M","-0.29%"
"10/26/2025","24.03","23.94","24.50","23.90","2.55M","0.92%"
"10/23/2025","23.81","24.00","24.22","23.81","1.71M","-0.79%"
"10/22/2025","24.00","23.20","24.05","23.19","3.75M","3.49%"
"10/21/2025","23.19","23.30","23.45","23.15","489.38K","-0.47%"
"10/20/2025","23.30","23.45","23.54","23.30","991.98K","-0.64%"
"10/19/2025","23.45","23.60","23.71","23.40","1.81M","-0.34%"
"10/16/2025","23.53","23.80","23.99","23.50","2.84M","-0.42%"
"10/15/2025","23.63","23.17","23.70","23.10","2.25M","1.99%"
"10/14/2025","23.17","22.99","23.47","22.92","2.50M","1.22%"
"10/13/2025","22.89","22.14","23.13","22.04","3.23M","3.95%"
"10/12/2025","22.02","22.29","22.29","21.93","718.25K","-1.48%"
"10/08/2025","22.35","22.40","22.60","22.30","1.44M","0.22%"
"10/07/2025","22.30","22.00","22.35","21.90","1.03M","1.73%"
"10/06/2025","21.92","22.00","22.09","21.76","523.52K","-0.09%"
"10/05/2025","21.94","21.70","22.11","21.55","850.88K","1.67%"
"10/02/2025","21.58","21.82","21.99","21.51","1.08M","-1.24%"
"10/01/2025","21.85","22.19","22.40","21.81","1.50M","-0.91%"
"09/30/2025","22.05","21.60","22.20","21.50","1.70M","2.56%"
"09/29/2025","21.50","21.40","21.50","21.09","1.19M","0.89%"
"09/28/2025","21.31","21.45","21.55","21.30","305.76K","-0.09%"
"09/25/2025","21.33","21.43","21.55","21.30","400.94K","-0.33%"
"09/24/2025","21.40","21.10","21.40","21.01","582.75K","1.66%"
"09/23/2025","21.05","21.45","21.45","21.02","266.04K","-1.27%"
"09/22/2025","21.32","21.20","21.44","20.98","262.48K","1.04%"
"09/21/2025","21.10","21.19","21.25","20.80","569.92K","0.24%"
"09/18/2025","21.05","21.19","21.25","20.90","865.21K","0.00%"
"09/17/2025","21.05","21.08","21.27","21.03","207.45K","-0.09%"
"09/16/2025","21.07","21.35","21.57","21.05","460.88K","-1.13%"
"09/15/2025","21.31","21.69","21.80","20.82","807.63K","-1.34%"
"09/14/2025","21.60","21.81","21.86","21.55","212.40K","-0.60%"
"09/11/2025","21.73","21.60","21.76","21.50","453.30K","1.07%"
"09/10/2025","21.50","21.71","21.78","21.48","452.83K","-0.97%"
"09/09/2025","21.71","21.94","21.97","21.70","234.38K","-0.41%"
"09/08/2025","21.80","21.78","21.97","21.77","389.88K","0.14%"
"09/07/2025","21.77","22.19","22.38","21.77","1.24M","-1.76%"
"09/03/2025","22.16","22.28","22.34","21.92","460.22K","-0.36%"
"09/02/2025","22.24","22.31","22.39","22.22","415.65K","-0.22%"
"09/01/2025","22.29","22.33","22.43","22.10","488.66K","0.09%"
"08/31/2025","22.27","22.75","23.00","22.25","910.42K","-1.89%"
"08/28/2025","22.70","22.60","22.86","22.55","536.16K","0.44%"
"08/27/2025","22.60","22.74","22.87","22.47","534.94K","-0.62%"
"08/26/2025","22.74","23.01","23.10","22.71","350.34K","-1.13%"
"08/25/2025","23.00","23.18","23.20","22.91","365.33K","-0.43%"
"08/24/2025","23.10","23.00","23.15","22.75","622.31K","0.65%"
"08/21/2025","22.95","23.12","23.12","22.75","524.52K","-0.65%"
"08/20/2025","23.10","23.15","23.44","23.04","1.38M","0.00%"
"08/19/2025","23.10","22.69","23.17","22.60","1.70M","1.76%"
"08/18/2025","22.70","22.70","22.82","22.60","477.78K","0.00%"
"08/17/2025","22.70","22.65","22.74","22.49","489.84K","0.22%"
