"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","8.160","8.300","8.390","8.050","16.28M","-1.57%"
"11/30/2025","8.290","8.120","8.300","8.120","16.84M","2.47%"
"11/27/2025","8.090","7.930","8.200","7.910","25.72M","2.15%"
"11/26/2025","7.920","8.000","8.100","7.900","11.39M","-1.00%"
"11/25/2025","8.000","7.960","8.010","7.880","10.99M","1.27%"
"11/24/2025","7.900","8.110","8.130","7.860","20.54M","-2.35%"
"11/23/2025","8.090","8.190","8.200","8.070","10.83M","-0.61%"
"11/20/2025","8.140","8.280","8.320","8.140","4.81M","-1.21%"
"11/19/2025","8.240","8.270","8.340","8.130","6.39M","0.12%"
"11/18/2025","8.230","8.380","8.450","8.230","19.27M","-1.56%"
"11/17/2025","8.360","8.200","8.430","8.190","37.45M","2.33%"
"11/16/2025","8.170","8.200","8.220","8.050","21.26M","-0.12%"
"11/13/2025","8.180","8.180","8.310","8.060","15.30M","0.25%"
"11/12/2025","8.160","7.910","8.230","7.880","26.04M","3.29%"
"11/11/2025","7.900","8.090","8.110","7.750","18.85M","-2.11%"
"11/10/2025","8.070","8.330","8.340","8.030","15.42M","-2.77%"
"11/09/2025","8.300","8.300","8.380","8.210","10.19M","0.24%"
"11/06/2025","8.280","8.360","8.460","8.260","28.82M","-0.84%"
"11/05/2025","8.350","8.250","8.400","8.200","53.07M","1.83%"
"11/04/2025","8.200","8.130","8.310","8.130","43.60M","0.99%"
"11/03/2025","8.120","7.800","8.130","7.740","17.22M","4.50%"
"11/02/2025","7.770","7.940","7.940","7.740","6.06M","-1.15%"
"10/30/2025","7.860","8.000","8.040","7.830","12.72M","-1.75%"
"10/29/2025","8.000","8.010","8.040","7.900","5.18M","0.00%"
"10/28/2025","8.000","8.010","8.100","7.970","7.62M","-0.12%"
"10/27/2025","8.010","8.100","8.150","8.000","15.22M","-0.74%"
"10/26/2025","8.070","7.910","8.100","7.890","10.34M","1.77%"
"10/23/2025","7.930","8.000","8.000","7.860","4.08M","-0.50%"
