"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","3.98","3.95","3.99","3.91","2.45M","1.27%"
"11/30/2025","3.93","3.99","3.99","3.91","1.41M","-1.26%"
"11/27/2025","3.98","4.05","4.05","3.96","2.32M","-1.73%"
"11/26/2025","4.05","4.00","4.06","4.00","1.59M","0.50%"
"11/25/2025","4.03","4.13","4.14","4.01","2.35M","-2.42%"
"11/24/2025","4.13","4.04","4.17","4.03","2.71M","2.23%"
"11/23/2025","4.04","4.12","4.12","4.00","3.10M","-1.22%"
"11/20/2025","4.09","4.12","4.13","4.07","2.70M","-0.49%"
"11/19/2025","4.11","4.06","4.12","4.04","2.33M","0.98%"
"11/18/2025","4.07","4.15","4.17","4.07","8.36M","0.49%"
"11/17/2025","4.05","3.97","4.08","3.90","5.29M","2.79%"
"11/16/2025","3.94","3.88","4.04","3.85","5.12M","2.34%"
"11/13/2025","3.85","4.06","4.07","3.80","13.38M","-4.94%"
"11/12/2025","4.05","4.01","4.07","4.00","2.22M","1.25%"
"11/11/2025","4.00","4.06","4.06","3.99","2.10M","-0.50%"
"11/10/2025","4.02","4.08","4.10","3.96","3.05M","-0.50%"
"11/09/2025","4.04","4.09","4.11","4.03","2.11M","-0.49%"
"11/06/2025","4.06","4.12","4.13","4.06","2.70M","-0.73%"
"11/05/2025","4.09","4.15","4.18","4.06","2.30M","-0.73%"
"11/04/2025","4.12","4.10","4.25","4.05","5.04M","1.23%"
"11/03/2025","4.07","4.10","4.16","4.05","3.64M","-0.49%"
"11/02/2025","4.09","4.09","4.15","4.02","3.65M","0.00%"
"10/30/2025","4.09","4.09","4.20","4.06","4.85M","0.99%"
"10/29/2025","4.05","4.10","4.14","4.02","3.57M","-1.70%"
"10/28/2025","4.12","4.23","4.24","4.05","3.76M","-1.90%"
"10/27/2025","4.20","4.25","4.39","4.20","6.41M","-0.94%"
"10/26/2025","4.24","4.21","4.48","4.15","19.09M","2.17%"
"10/23/2025","4.15","4.39","4.42","4.13","18.02M","-3.94%"
"10/22/2025","4.32","3.64","4.32","3.63","34.17M","20.00%"
"10/21/2025","3.60","3.50","3.62","3.46","4.84M","2.86%"
"10/20/2025","3.50","3.42","3.54","3.41","5.07M","2.94%"
"10/19/2025","3.40","3.47","3.49","3.39","4.12M","-1.45%"
"10/16/2025","3.45","3.34","3.45","3.34","6.59M","3.60%"
"10/15/2025","3.33","3.32","3.34","3.30","1.44M","0.30%"
"10/14/2025","3.32","3.32","3.35","3.28","708.18K","0.61%"
"10/13/2025","3.30","3.31","3.31","3.28","1.36M","-0.30%"
"10/12/2025","3.31","3.30","3.34","3.28","1.20M","0.00%"
"10/08/2025","3.31","3.29","3.33","3.26","1.32M","0.61%"
"10/07/2025","3.29","3.27","3.33","3.25","4.77M","0.61%"
"10/06/2025","3.27","3.24","3.28","3.24","835.90K","0.31%"
