"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","4.080","3.750","4.150","3.750","484.55M","10.57%"
"11/30/2025","3.690","3.240","3.690","3.230","433.79M","14.60%"
"11/27/2025","3.220","3.290","3.310","3.190","170.01M","-1.83%"
"11/26/2025","3.280","3.310","3.440","3.260","315.30M","0.31%"
"11/25/2025","3.270","3.100","3.430","3.030","536.03M","12.76%"
"11/24/2025","2.900","2.440","2.950","2.200","593.43M","5.45%"
"11/23/2025","2.750","2.700","2.810","2.700","18.99M","1.85%"
"11/20/2025","2.700","2.730","2.730","2.680","7.88M","-1.10%"
"11/19/2025","2.730","2.710","2.730","2.700","6.57M","1.11%"
"11/18/2025","2.700","2.780","2.800","2.670","18.71M","-2.53%"
"11/17/2025","2.770","2.820","2.890","2.770","24.88M","-1.42%"
"11/16/2025","2.810","2.720","2.830","2.680","38.89M","4.07%"
"11/13/2025","2.700","2.740","2.750","2.700","10.12M","-1.46%"
"11/12/2025","2.740","2.710","2.750","2.710","17.04M","1.11%"
"11/11/2025","2.710","2.740","2.770","2.700","17.32M","-0.73%"
"11/10/2025","2.730","2.750","2.790","2.670","23.14M","-0.73%"
"11/09/2025","2.750","2.770","2.810","2.740","14.27M","-0.36%"
"11/06/2025","2.760","2.750","2.800","2.740","13.05M","0.36%"
"11/05/2025","2.750","2.790","2.860","2.740","22.85M","-1.79%"
"11/04/2025","2.800","2.730","2.820","2.720","24.43M","2.94%"
"11/03/2025","2.720","2.710","2.730","2.630","12.82M","0.74%"
"11/02/2025","2.700","2.830","2.870","2.640","34.03M","-5.26%"
"10/30/2025","2.850","2.940","2.950","2.830","19.66M","-2.73%"
"10/29/2025","2.930","2.890","2.950","2.860","30.34M","2.09%"
"10/28/2025","2.870","2.810","2.930","2.810","44.11M","2.50%"
"10/27/2025","2.800","2.820","2.880","2.780","27.46M","0.36%"
"10/26/2025","2.790","2.710","2.800","2.710","27.17M","3.72%"
"10/23/2025","2.690","2.760","2.770","2.690","12.69M","-1.82%"
"10/22/2025","2.740","2.820","2.830","2.660","46.38M","-2.49%"
"10/21/2025","2.810","2.820","2.860","2.790","20.70M","1.44%"
"10/20/2025","2.770","2.690","2.810","2.690","37.12M","2.97%"
"10/19/2025","2.690","2.670","2.710","2.640","14.03M","1.89%"
"10/16/2025","2.640","2.680","2.700","2.630","15.16M","-1.12%"
"10/15/2025","2.670","2.710","2.720","2.650","7.80M","-1.11%"
"10/14/2025","2.700","2.680","2.740","2.660","9.82M","1.12%"
"10/13/2025","2.670","2.750","2.790","2.640","20.75M","-3.26%"
"10/12/2025","2.760","2.510","2.770","2.500","52.04M","10.40%"
"10/08/2025","2.500","2.480","2.520","2.450","11.62M","1.63%"
"10/07/2025","2.460","2.480","2.500","2.460","8.31M","-0.81%"
"10/06/2025","2.480","2.550","2.550","2.480","13.60M","-2.36%"
"10/05/2025","2.540","2.550","2.580","2.520","5.04M","0.00%"
"10/02/2025","2.540","2.550","2.610","2.530","13.59M","0.40%"
"10/01/2025","2.530","2.490","2.560","2.480","11.44M","2.43%"
"09/30/2025","2.470","2.480","2.510","2.470","11.23M","0.00%"
"09/29/2025","2.470","2.500","2.510","2.470","10.66M","-0.40%"
"09/28/2025","2.480","2.530","2.540","2.470","6.16M","-1.59%"
"09/25/2025","2.520","2.570","2.580","2.510","5.79M","-1.18%"
"09/24/2025","2.550","2.510","2.550","2.480","6.20M","2.00%"
"09/23/2025","2.500","2.570","2.570","2.460","8.69M","-1.96%"
"09/22/2025","2.550","2.560","2.590","2.500","8.91M","0.00%"
"09/21/2025","2.550","2.610","2.670","2.540","11.71M","-1.54%"
"09/18/2025","2.590","2.640","2.670","2.580","11.61M","-1.52%"
"09/17/2025","2.630","2.510","2.630","2.490","29.47M","5.20%"
"09/16/2025","2.500","2.400","2.590","2.390","36.91M","4.60%"
"09/15/2025","2.390","2.410","2.440","2.370","10.52M","-0.83%"
"09/14/2025","2.410","2.470","2.510","2.400","14.43M","-1.63%"
"09/11/2025","2.450","2.540","2.550","2.450","10.67M","-2.78%"
"09/10/2025","2.520","2.480","2.530","2.470","8.58M","2.44%"
"09/09/2025","2.460","2.480","2.540","2.460","15.15M","0.00%"
"09/08/2025","2.460","2.640","2.650","2.420","24.79M","-6.46%"
"09/07/2025","2.630","2.650","2.660","2.610","6.65M","0.00%"
"09/03/2025","2.630","2.710","2.730","2.630","11.09M","-2.59%"
"09/02/2025","2.700","2.730","2.800","2.700","11.71M","-1.10%"
"09/01/2025","2.730","2.700","2.740","2.690","5.91M","0.37%"
"08/31/2025","2.720","2.820","2.820","2.680","7.70M","-2.86%"
"08/28/2025","2.800","2.840","2.850","2.780","6.15M","-1.41%"
"08/27/2025","2.840","2.860","2.870","2.810","34.48M","0.00%"
"08/26/2025","2.840","2.810","2.870","2.800","9.19M","1.43%"
"08/25/2025","2.800","2.760","2.820","2.750","10.26M","1.45%"
"08/24/2025","2.760","2.760","2.810","2.740","9.39M","0.00%"
"08/21/2025","2.760","2.760","2.800","2.740","7.51M","0.36%"
"08/20/2025","2.750","2.750","2.860","2.740","21.33M","-0.36%"
"08/19/2025","2.760","2.700","2.770","2.680","11.95M","2.60%"
"08/18/2025","2.690","2.710","2.760","2.680","11.18M","-0.37%"
"08/17/2025","2.700","2.790","2.810","2.660","22.71M","-2.88%"
"08/14/2025","2.780","2.860","2.890","2.780","20.48M","-2.80%"
"08/13/2025","2.860","3.070","3.080","2.800","42.32M","-6.23%"
"08/12/2025","3.050","3.100","3.120","3.050","15.80M","-1.61%"
"08/11/2025","3.100","3.190","3.200","3.100","10.61M","-2.21%"
"08/10/2025","3.170","3.170","3.190","3.120","9.43M","0.63%"
"08/07/2025","3.150","3.230","3.230","3.150","8.34M","-2.17%"
"08/06/2025","3.220","3.270","3.270","3.190","8.27M","-0.92%"
"08/05/2025","3.250","3.240","3.260","3.190","13.31M","0.93%"
"08/04/2025","3.220","3.070","3.240","3.070","37.45M","4.89%"
"08/03/2025","3.070","3.070","3.090","3.030","5.27M","0.33%"
"07/31/2025","3.060","3.030","3.100","2.990","15.75M","1.32%"
"07/30/2025","3.020","3.050","3.120","2.950","15.14M","-0.33%"
"07/29/2025","3.030","3.000","3.030","2.960","7.58M","1.34%"
"07/28/2025","2.990","3.110","3.110","2.960","11.72M","-3.24%"
"07/27/2025","3.090","3.100","3.150","3.080","12.75M","0.00%"
"07/23/2025","3.090","3.110","3.130","3.070","11.94M","-0.32%"
"07/22/2025","3.100","3.090","3.130","3.060","13.20M","0.32%"
"07/21/2025","3.090","3.230","3.260","3.090","33.22M","-4.04%"
"07/20/2025","3.220","3.210","3.270","3.200","18.37M","0.31%"
"07/17/2025","3.210","3.190","3.240","3.160","23.54M","1.26%"
"07/16/2025","3.170","3.250","3.300","3.160","26.40M","-1.86%"
"07/15/2025","3.230","3.290","3.330","3.230","36.97M","-1.52%"
"07/14/2025","3.280","3.170","3.290","3.160","29.64M","3.80%"
"07/13/2025","3.160","3.280","3.300","3.160","32.85M","-3.07%"
"07/10/2025","3.260","3.210","3.370","3.200","73.37M","2.19%"
"07/09/2025","3.190","3.020","3.250","3.000","71.74M","5.63%"
"07/07/2025","3.020","2.920","3.050","2.870","112.34M","3.78%"
"07/06/2025","2.910","2.920","2.970","2.880","16.28M","0.69%"
"07/02/2025","2.890","2.860","2.890","2.800","18.84M","1.40%"
"07/01/2025","2.850","2.870","2.880","2.790","6.50M","-0.35%"
"06/30/2025","2.860","2.900","2.940","2.850","21.37M","-1.04%"
"06/29/2025","2.890","2.850","2.900","2.840","16.67M","2.48%"
"06/25/2025","2.820","2.720","2.840","2.690","30.65M","4.06%"
"06/24/2025","2.710","2.720","2.750","2.680","21.76M","0.74%"
"06/23/2025","2.690","2.600","2.700","2.580","18.41M","3.86%"
"06/22/2025","2.590","2.400","2.600","2.350","13.46M","5.28%"
"06/19/2025","2.460","2.570","2.570","2.430","18.45M","-3.53%"
"06/18/2025","2.550","2.520","2.560","2.490","19.88M","1.59%"
"06/17/2025","2.510","2.600","2.620","2.510","10.55M","-3.09%"
"06/16/2025","2.590","2.600","2.650","2.590","11.16M","0.00%"
"06/15/2025","2.590","2.680","2.680","2.500","29.57M","-7.17%"
"06/12/2025","2.790","2.860","2.900","2.770","13.62M","-2.45%"
"06/11/2025","2.860","2.970","2.970","2.860","15.56M","-3.05%"
"06/10/2025","2.950","2.940","3.000","2.940","19.29M","1.03%"
"06/04/2025","2.920","2.820","2.930","2.820","39.44M","3.55%"
"06/03/2025","2.820","2.820","2.850","2.810","5.34M","0.00%"
"06/02/2025","2.820","2.850","2.860","2.810","7.27M","-0.70%"
"06/01/2025","2.840","2.830","2.860","2.790","10.77M","1.07%"
