"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","2.77","2.79","2.80","2.75","5.94M","-0.36%"
"11/30/2025","2.78","2.73","2.79","2.73","12.40M","2.58%"
"11/27/2025","2.71","2.68","2.74","2.67","6.16M","1.50%"
"11/26/2025","2.67","2.71","2.72","2.66","7.99M","-1.48%"
"11/25/2025","2.71","2.79","2.80","2.69","22.42M","-2.87%"
"11/24/2025","2.79","2.84","2.85","2.78","9.95M","-1.76%"
"11/23/2025","2.84","2.82","2.85","2.80","14.09M","1.07%"
"11/20/2025","2.81","2.85","2.86","2.81","10.81M","-1.06%"
"11/19/2025","2.84","2.87","2.88","2.83","14.01M","-1.05%"
"11/18/2025","2.87","2.90","2.91","2.86","11.89M","-1.03%"
"11/17/2025","2.90","2.93","2.93","2.88","10.02M","0.00%"
"11/16/2025","2.90","2.95","2.97","2.89","19.42M","-0.68%"
"11/13/2025","2.92","3.01","3.02","2.92","11.67M","-2.01%"
"11/12/2025","2.98","2.97","3.07","2.97","67.96M","0.68%"
"11/11/2025","2.96","2.99","3.01","2.95","34.78M","0.00%"
"11/10/2025","2.96","2.87","2.96","2.82","27.69M","3.86%"
"11/09/2025","2.85","2.89","2.90","2.85","5.28M","-1.72%"
"11/06/2025","2.90","2.88","2.90","2.84","8.49M","1.40%"
"11/05/2025","2.86","2.93","2.94","2.85","12.63M","-2.05%"
"11/04/2025","2.92","2.91","2.92","2.89","4.22M","0.69%"
"11/03/2025","2.90","2.88","2.90","2.86","12.70M","1.05%"
"11/02/2025","2.87","2.92","2.94","2.87","11.50M","-0.69%"
"10/30/2025","2.89","2.92","2.93","2.89","13.31M","-0.69%"
"10/29/2025","2.91","2.96","2.96","2.90","12.38M","-1.02%"
"10/28/2025","2.94","3.00","3.01","2.91","21.94M","-1.34%"
"10/27/2025","2.98","2.88","3.01","2.86","50.94M","4.20%"
"10/26/2025","2.86","2.87","2.88","2.84","12.64M","-0.35%"
"10/23/2025","2.87","2.84","2.88","2.84","7.69M","1.77%"
"10/22/2025","2.82","2.84","2.85","2.81","9.72M","-0.35%"
"10/21/2025","2.83","2.88","2.89","2.83","14.67M","-1.39%"
"10/20/2025","2.87","2.93","2.93","2.87","14.65M","-1.37%"
"10/19/2025","2.91","2.92","2.95","2.89","15.54M","0.34%"
"10/16/2025","2.90","2.84","2.92","2.84","31.42M","2.11%"
"10/15/2025","2.84","2.86","2.88","2.82","5.00M","-0.70%"
"10/14/2025","2.86","2.88","2.91","2.86","9.99M","-0.69%"
"10/13/2025","2.88","2.88","2.90","2.86","5.53M","0.35%"
"10/12/2025","2.87","2.86","2.88","2.83","6.07M","0.00%"
"10/08/2025","2.87","2.91","2.93","2.86","12.15M","-1.03%"
"10/07/2025","2.90","2.86","2.90","2.85","12.34M","1.75%"
"10/06/2025","2.85","2.90","2.91","2.85","12.26M","-1.04%"
"10/05/2025","2.88","2.89","2.92","2.87","17.89M","0.35%"
"10/02/2025","2.87","2.90","2.92","2.86","18.38M","-1.03%"
"10/01/2025","2.90","2.94","2.98","2.87","40.47M","-0.34%"
"09/30/2025","2.91","2.95","3.00","2.91","49.02M","0.00%"
