"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","18.76","18.45","18.78","18.45","1.02M","2.46%"
"11/30/2025","18.31","18.10","18.94","18.01","2.50M","1.38%"
"11/27/2025","18.06","18.00","18.29","17.87","585.10K","0.56%"
"11/26/2025","17.96","18.00","18.50","17.71","1.75M","0.90%"
"11/25/2025","17.80","18.01","18.60","17.80","1.35M","-1.11%"
"11/24/2025","18.00","18.03","18.27","17.90","510.61K","-0.11%"
"11/23/2025","18.02","18.50","18.55","17.90","752.98K","-1.91%"
"11/20/2025","18.37","18.20","18.64","18.01","2.24M","1.44%"
"11/19/2025","18.11","17.75","18.20","17.50","805.16K","2.09%"
"11/18/2025","17.74","18.14","18.20","17.65","1.07M","-0.95%"
"11/17/2025","17.91","18.73","18.79","17.90","2.49M","-3.71%"
"11/16/2025","18.60","18.98","19.17","18.60","2.21M","-1.69%"
"11/13/2025","18.92","18.80","19.50","18.71","5.45M","1.18%"
"11/12/2025","18.70","19.40","19.45","18.52","4.02M","-2.40%"
"11/11/2025","19.16","19.36","19.38","19.15","1.74M","-0.42%"
"11/10/2025","19.24","19.36","19.65","19.15","1.93M","-0.26%"
"11/09/2025","19.29","19.27","19.49","19.16","590.83K","0.68%"
"11/06/2025","19.16","19.68","19.97","19.16","3.05M","-1.94%"
"11/05/2025","19.54","19.50","19.66","19.09","2.50M","1.77%"
"11/04/2025","19.20","20.00","20.00","19.00","3.41M","-4.48%"
"11/03/2025","20.10","18.55","20.10","18.21","2.86M","8.65%"
"11/02/2025","18.50","18.93","18.98","18.50","837.93K","-2.22%"
"10/30/2025","18.92","19.21","19.35","18.81","1.91M","-1.20%"
"10/29/2025","19.15","19.58","19.60","19.04","1.46M","-1.74%"
"10/28/2025","19.49","19.63","20.20","19.20","3.86M","-0.31%"
"10/27/2025","19.55","19.19","19.79","18.92","3.43M","2.89%"
"10/26/2025","19.00","18.99","19.39","18.89","5.77M","0.64%"
"10/23/2025","18.88","18.00","18.95","17.85","4.88M","5.47%"
"10/22/2025","17.90","18.49","18.49","17.90","1.64M","-3.40%"
"10/21/2025","18.53","17.64","18.58","17.07","5.75M","5.58%"
"10/20/2025","17.55","17.40","17.98","17.30","7.52M","0.69%"
"10/19/2025","17.43","16.23","17.49","16.23","10.08M","6.74%"
"10/16/2025","16.33","16.29","16.37","16.18","601.66K","0.49%"
"10/15/2025","16.25","16.30","16.40","16.14","554.24K","0.00%"
