"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","18.80","18.91","19.10","18.80","642.11K","-0.53%"
"11/30/2025","18.90","18.99","19.09","18.69","1.12M","-0.05%"
"11/27/2025","18.91","18.90","18.98","18.80","412.39K","0.42%"
"11/26/2025","18.83","19.00","19.02","18.83","510.38K","-0.74%"
"11/25/2025","18.97","19.00","19.14","18.95","570.05K","-0.26%"
"11/24/2025","19.02","19.15","19.20","19.00","901.94K","-0.52%"
"11/23/2025","19.12","19.12","19.21","19.12","325.02K","0.05%"
"11/20/2025","19.11","19.16","19.20","19.10","404.80K","0.16%"
"11/19/2025","19.08","19.42","19.42","19.00","1.32M","-1.19%"
"11/18/2025","19.31","19.55","19.70","19.30","1.08M","-0.97%"
"11/17/2025","19.50","19.62","19.70","19.45","721.92K","-0.10%"
"11/16/2025","19.52","19.60","19.68","19.43","801.66K","0.46%"
"11/13/2025","19.43","19.50","19.57","19.40","435.78K","-0.10%"
"11/12/2025","19.45","19.67","19.67","19.44","441.02K","-0.31%"
"11/11/2025","19.51","19.69","19.76","19.51","1.15M","-0.51%"
"11/10/2025","19.61","19.93","20.07","19.55","2.09M","-1.56%"
"11/09/2025","19.92","19.77","19.99","19.59","3.03M","1.12%"
"11/06/2025","19.70","19.19","19.90","19.02","3.30M","2.76%"
"11/05/2025","19.17","19.11","19.23","19.00","1.19M","0.37%"
"11/04/2025","19.10","19.06","19.25","19.03","726.38K","0.53%"
"11/03/2025","19.00","19.35","19.38","18.96","1.46M","-1.04%"
"11/02/2025","19.20","19.50","19.60","19.20","928.22K","-1.49%"
"10/30/2025","19.49","19.55","19.64","19.48","540.51K","-0.05%"
"10/29/2025","19.50","19.68","19.68","19.48","699.08K","-0.56%"
"10/28/2025","19.61","19.78","19.79","19.55","671.68K","-0.51%"
"10/27/2025","19.71","19.93","19.94","19.69","967.37K","-0.81%"
"10/26/2025","19.87","19.86","19.96","19.64","1.25M","0.51%"
"10/23/2025","19.77","19.89","19.95","19.60","1.18M","-0.40%"
"10/22/2025","19.85","19.80","19.98","19.73","1.73M","0.66%"
"10/21/2025","19.72","19.46","19.76","19.44","1.69M","1.44%"
"10/20/2025","19.44","19.53","19.57","19.43","2.26M","-0.31%"
"10/19/2025","19.50","19.50","19.55","19.42","1.43M","0.31%"
"10/16/2025","19.44","19.50","19.59","19.38","1.07M","-0.31%"
"10/15/2025","19.50","19.68","19.68","19.41","1.02M","-0.86%"
"10/14/2025","19.67","19.75","19.75","19.57","2.46M","0.05%"
"10/13/2025","19.66","19.70","19.84","19.60","701.54K","0.05%"
"10/12/2025","19.65","19.80","20.00","19.60","569.71K","-1.01%"
"10/08/2025","19.85","19.81","19.90","19.70","353.41K","0.20%"
"10/07/2025","19.81","20.00","20.10","19.80","588.51K","-0.95%"
"10/06/2025","20.00","20.18","20.18","19.92","462.26K","-0.55%"
"10/05/2025","20.11","20.01","20.15","19.90","721.20K","0.55%"
"10/02/2025","20.00","20.08","20.20","19.73","1.54M","-0.40%"
"10/01/2025","20.08","19.85","20.10","19.61","1.70M","1.16%"
"09/30/2025","19.85","19.14","19.90","19.11","5.64M","3.93%"
"09/29/2025","19.10","19.10","19.14","18.93","580.20K","0.10%"
"09/28/2025","19.08","18.90","19.13","18.87","578.25K","0.90%"
"09/25/2025","18.91","19.12","19.20","18.91","694.97K","-0.47%"
"09/24/2025","19.00","18.41","19.04","18.39","2.26M","3.26%"
