"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","60.64","62.00","62.95","60.50","271.16K","-1.48%"
"11/30/2025","61.55","63.20","63.45","61.10","669.23K","-2.07%"
"11/27/2025","62.85","59.36","64.89","59.10","1.23M","6.04%"
"11/26/2025","59.27","60.81","61.50","59.04","668.13K","-2.50%"
"11/25/2025","60.79","62.47","63.79","60.66","523.18K","-1.95%"
"11/24/2025","62.00","64.47","64.60","61.50","444.27K","-3.13%"
"11/23/2025","64.00","65.42","65.87","63.85","360.24K","-1.99%"
"11/20/2025","65.30","65.97","67.85","65.20","618.43K","-0.46%"
"11/19/2025","65.60","65.04","66.90","64.41","596.66K","0.92%"
"11/18/2025","65.00","67.00","67.66","65.00","639.81K","-2.56%"
"11/17/2025","66.71","66.80","68.22","66.60","782.31K","0.17%"
"11/16/2025","66.60","70.00","70.90","66.53","953.91K","-3.83%"
"11/13/2025","69.25","72.75","75.00","69.25","3.50M","-4.48%"
"11/12/2025","72.50","66.95","72.50","66.55","4.46M","9.42%"
"11/11/2025","66.26","66.89","67.76","65.73","653.27K","0.02%"
"11/10/2025","66.25","67.01","67.78","66.16","733.93K","-0.59%"
"11/09/2025","66.64","66.84","68.30","65.65","1.34M","-0.34%"
"11/06/2025","66.87","65.89","66.87","64.00","414.88K","1.49%"
"11/05/2025","65.89","67.80","68.30","64.50","548.99K","-2.76%"
"11/04/2025","67.76","69.00","69.38","67.15","816.78K","-1.30%"
"11/03/2025","68.65","66.01","68.65","59.50","1.09M","4.02%"
"11/02/2025","66.00","66.72","67.48","65.22","337.83K","-0.69%"
"10/30/2025","66.46","67.67","67.85","66.23","392.63K","-0.88%"
"10/29/2025","67.05","65.80","68.50","65.55","1.04M","2.16%"
"10/28/2025","65.63","65.90","67.18","65.22","856.47K","0.11%"
"10/27/2025","65.56","68.11","68.75","65.20","886.34K","-3.23%"
"10/26/2025","67.75","69.18","71.40","67.51","829.02K","-1.38%"
"10/23/2025","68.70","72.00","72.50","68.10","1.79M","-3.28%"
"10/22/2025","71.03","72.00","73.50","71.03","973.21K","-0.59%"
"10/21/2025","71.45","70.82","73.00","70.51","1.84M","1.68%"
"10/20/2025","70.27","66.66","72.70","66.30","2.41M","6.20%"
"10/19/2025","66.17","68.00","69.50","66.17","1.76M","-3.40%"
"10/16/2025","68.50","69.00","69.80","66.05","1.37M","0.44%"
"10/15/2025","68.20","61.76","68.20","61.61","2.14M","10.79%"
"10/14/2025","61.56","65.49","65.65","61.02","876.38K","-3.92%"
"10/13/2025","64.07","66.49","68.80","63.20","2.96M","-2.12%"
"10/12/2025","65.46","57.78","65.46","57.40","4.55M","20.00%"
"10/08/2025","54.55","53.04","55.84","52.55","1.11M","2.92%"
"10/07/2025","53.00","54.10","54.47","53.00","415.30K","-1.87%"
"10/06/2025","54.01","54.98","55.50","53.55","916.59K","-0.53%"
"10/05/2025","54.30","52.01","58.10","52.01","2.32M","6.68%"
"10/02/2025","50.90","51.45","51.75","50.60","298.47K","-0.57%"
"10/01/2025","51.19","51.05","52.48","50.55","558.22K","0.93%"
"09/30/2025","50.72","51.13","52.99","50.40","891.38K","1.02%"
"09/29/2025","50.21","49.08","51.50","48.75","788.32K","2.30%"
"09/28/2025","49.08","49.60","49.80","48.84","262.79K","-0.37%"
"09/25/2025","49.26","48.70","49.95","48.60","411.70K","1.36%"
"09/24/2025","48.60","48.49","48.99","48.13","171.48K","0.77%"
"09/23/2025","48.23","49.52","49.69","48.11","211.52K","-1.55%"
"09/22/2025","48.99","47.41","50.50","47.41","561.90K","3.57%"
"09/21/2025","47.30","49.12","49.60","47.30","379.33K","-3.67%"
"09/18/2025","49.10","49.90","50.27","48.90","342.42K","-1.01%"
"09/17/2025","49.60","49.35","50.44","48.62","358.59K","0.16%"
"09/16/2025","49.52","52.40","52.40","48.55","477.04K","-4.46%"
"09/15/2025","51.83","51.99","53.50","51.47","739.55K","0.93%"
"09/14/2025","51.35","51.10","52.90","50.80","564.43K","1.22%"
"09/11/2025","50.73","52.25","53.00","50.70","709.08K","-1.50%"
"09/10/2025","51.50","53.03","53.40","51.50","966.85K","-1.90%"
"09/09/2025","52.50","47.50","54.99","47.31","3.41M","11.11%"
"09/08/2025","47.25","49.12","50.00","46.30","495.63K","-3.59%"
"09/07/2025","49.01","50.29","50.74","49.01","329.27K","-2.31%"
"09/03/2025","50.17","51.01","51.45","49.80","356.52K","-0.87%"
"09/02/2025","50.61","51.47","52.01","50.52","337.35K","-0.30%"
