"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","6.270","6.440","6.490","6.250","2.22M","-1.57%"
"11/30/2025","6.370","6.440","6.530","6.360","2.54M","-0.62%"
"11/27/2025","6.410","5.600","6.690","5.600","5.59M","1.58%"
"11/26/2025","6.310","6.500","6.540","6.310","2.91M","-2.77%"
"11/25/2025","6.490","6.610","6.700","6.460","3.98M","-1.67%"
"11/24/2025","6.600","6.670","6.770","6.590","4.66M","-0.75%"
"11/23/2025","6.650","6.800","6.860","6.650","2.45M","-1.92%"
"11/20/2025","6.780","6.790","7.000","6.770","6.13M","0.15%"
"11/19/2025","6.770","6.840","6.980","6.740","4.60M","-1.02%"
"11/18/2025","6.840","7.100","7.110","6.830","4.58M","-3.53%"
"11/17/2025","7.090","7.130","7.190","7.030","4.95M","0.28%"
"11/16/2025","7.070","7.070","7.150","7.020","4.78M","0.43%"
"11/13/2025","7.040","7.300","7.410","7.040","19.71M","-3.03%"
"11/12/2025","7.260","7.080","7.320","7.030","24.77M","3.71%"
"11/11/2025","7.000","7.250","7.270","6.960","8.16M","-2.91%"
"11/10/2025","7.210","7.330","7.350","7.200","2.10M","-1.23%"
"11/09/2025","7.300","7.220","7.370","7.200","2.80M","1.39%"
"11/06/2025","7.200","7.280","7.330","7.190","1.56M","-1.10%"
"11/05/2025","7.280","7.260","7.400","7.210","6.35M","0.28%"
"11/04/2025","7.260","7.360","7.420","7.260","4.66M","-0.55%"
"11/03/2025","7.300","7.160","7.300","7.160","1.89M","2.10%"
"11/02/2025","7.150","7.270","7.390","7.110","2.24M","-1.52%"
"10/30/2025","7.260","7.380","7.430","7.240","2.28M","-1.36%"
"10/29/2025","7.360","7.440","7.500","7.340","4.64M","-0.94%"
"10/28/2025","7.430","7.360","7.430","7.230","3.12M","1.09%"
"10/27/2025","7.350","7.500","7.500","7.350","4.55M","-1.74%"
"10/26/2025","7.480","7.650","7.650","7.440","6.55M","-1.71%"
"10/23/2025","7.610","7.530","7.760","7.530","11.42M","1.33%"
"10/22/2025","7.510","7.540","7.660","7.450","9.55M","-0.13%"
"10/21/2025","7.520","7.430","7.660","7.400","15.41M","1.62%"
"10/20/2025","7.400","7.270","7.440","7.140","10.49M","1.93%"
"10/19/2025","7.260","7.330","7.360","7.230","2.72M","-0.55%"
"10/16/2025","7.300","7.370","7.420","7.250","7.48M","-0.14%"
"10/15/2025","7.310","7.150","7.310","6.890","8.15M","2.24%"
"10/14/2025","7.150","7.290","7.310","7.080","4.44M","-1.24%"
"10/13/2025","7.240","7.460","7.490","7.210","11.91M","-2.03%"
"10/12/2025","7.390","7.050","7.420","6.980","23.79M","6.95%"
"10/08/2025","6.910","7.270","7.270","6.910","8.96M","-4.69%"
"10/07/2025","7.250","7.110","7.250","6.950","13.82M","2.11%"
"10/06/2025","7.100","6.550","7.120","6.550","29.51M","9.06%"
"10/05/2025","6.510","6.400","6.660","6.390","6.85M","3.01%"
"10/02/2025","6.320","6.400","6.420","6.300","1.42M","-1.25%"
"10/01/2025","6.400","6.530","6.530","6.330","2.69M","-0.93%"
"09/30/2025","6.460","6.580","6.610","6.450","2.76M","-0.92%"
"09/29/2025","6.520","6.440","6.550","6.410","4.59M","1.56%"
"09/28/2025","6.420","6.500","6.600","6.410","5.80M","-1.53%"
"09/25/2025","6.520","6.230","6.520","6.230","7.14M","5.50%"
"09/24/2025","6.180","6.140","6.200","6.120","1.57M","0.65%"
"09/23/2025","6.140","6.250","6.300","6.120","3.14M","-1.60%"
"09/22/2025","6.240","6.400","6.480","6.190","7.78M","-2.50%"
"09/21/2025","6.400","6.770","6.850","6.360","8.14M","-5.19%"
"09/18/2025","6.750","6.830","6.900","6.650","3.51M","-1.46%"
"09/17/2025","6.850","6.780","6.890","6.750","2.69M","1.33%"
"09/16/2025","6.760","7.140","7.180","6.750","7.01M","-5.06%"
"09/15/2025","7.120","6.750","7.120","6.740","19.58M","5.79%"
"09/14/2025","6.730","6.730","6.780","6.650","2.64M","0.45%"
"09/11/2025","6.700","6.800","6.850","6.670","3.13M","-1.47%"
"09/10/2025","6.800","6.830","6.920","6.750","5.07M","-0.29%"
