"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","75.45","76.90","77.50","75.00","1.82M","-1.30%"
"11/30/2025","76.44","72.14","76.50","72.12","2.79M","6.17%"
"11/27/2025","72.00","71.00","72.50","70.90","1.82M","1.41%"
"11/26/2025","71.00","71.80","72.25","70.91","1.42M","-0.07%"
"11/25/2025","71.05","71.97","73.50","71.05","3.81M","0.07%"
"11/24/2025","71.00","72.65","75.64","71.00","6.12M","-2.14%"
"11/23/2025","72.55","73.90","74.00","72.55","1.20M","-1.43%"
"11/20/2025","73.60","75.19","76.50","73.60","1.61M","-2.11%"
"11/19/2025","75.19","74.40","75.95","73.22","1.83M","0.79%"
"11/18/2025","74.60","77.00","77.49","74.51","2.93M","-2.74%"
"11/17/2025","76.70","75.62","79.43","75.62","4.88M","2.27%"
"11/16/2025","75.00","71.80","75.00","71.30","3.20M","4.75%"
"11/13/2025","71.60","70.90","71.70","70.30","2.23M","1.85%"
"11/12/2025","70.30","70.30","72.30","70.30","2.64M","0.14%"
"11/11/2025","70.20","71.91","72.40","70.20","2.23M","-2.31%"
"11/10/2025","71.86","71.48","73.00","71.25","4.41M","0.93%"
"11/09/2025","71.20","71.47","72.90","70.20","3.31M","0.42%"
"11/06/2025","70.90","69.00","72.25","69.00","12.23M","3.23%"
"11/05/2025","68.68","65.00","68.98","64.00","8.56M","5.68%"
"11/04/2025","64.99","62.25","64.99","62.16","7.29M","4.81%"
"11/03/2025","62.01","59.30","62.01","59.22","10.54M","4.84%"
"11/02/2025","59.15","58.00","59.58","57.90","6.61M","2.85%"
"10/30/2025","57.51","58.00","58.35","57.30","1.75M","-0.69%"
"10/29/2025","57.91","58.40","58.60","57.88","1.49M","-0.33%"
"10/28/2025","58.10","58.05","58.60","57.40","2.29M","0.17%"
"10/27/2025","58.00","57.11","58.20","57.11","2.25M","1.61%"
"10/26/2025","57.08","56.50","57.85","56.50","1.22M","1.15%"
"10/23/2025","56.43","56.20","56.88","56.20","1.24M","-0.12%"
"10/22/2025","56.50","57.12","57.45","56.50","1.04M","-1.05%"
"10/21/2025","57.10","57.78","57.78","57.10","1.20M","-1.18%"
"10/20/2025","57.78","58.00","58.40","57.57","933.31K","-0.38%"
"10/19/2025","58.00","57.27","58.40","57.25","2.15M","1.27%"
"10/16/2025","57.27","57.83","58.20","57.27","1.36M","-1.02%"
"10/15/2025","57.86","58.00","58.00","57.50","629.83K","0.10%"
"10/14/2025","57.80","58.73","59.00","57.05","8.54M","-1.37%"
"10/13/2025","58.60","58.51","58.99","58.10","2.55M","0.17%"
"10/12/2025","58.50","57.80","58.97","57.20","2.91M","1.23%"
"10/08/2025","57.79","56.26","58.01","56.01","4.38M","2.76%"
"10/07/2025","56.24","56.11","56.35","56.00","718.05K","0.41%"
"10/06/2025","56.01","56.83","57.10","55.80","1.43M","-1.39%"
"10/05/2025","56.80","57.03","57.49","56.75","700.30K","-0.35%"
"10/02/2025","57.00","57.24","57.70","57.00","1.98M","-0.28%"
"10/01/2025","57.16","56.90","57.66","56.61","2.99M","0.49%"
"09/30/2025","56.88","56.26","56.95","56.11","2.76M","1.14%"
"09/29/2025","56.24","55.65","56.35","55.12","2.54M","1.13%"
"09/28/2025","55.61","55.48","55.80","54.50","1.28M","0.91%"
"09/25/2025","55.11","55.49","55.60","55.01","1.39M","-0.70%"
"09/24/2025","55.50","54.35","55.50","54.15","975.36K","2.23%"
"09/23/2025","54.29","54.53","55.15","54.10","1.24M","-0.57%"
"09/22/2025","54.60","54.55","55.00","54.22","515.50K","0.17%"
"09/21/2025","54.51","54.01","55.12","53.70","1.81M","0.94%"
"09/18/2025","54.00","53.68","54.08","53.30","1.23M","0.69%"
"09/17/2025","53.63","53.70","53.96","52.91","1.89M","-0.13%"
"09/16/2025","53.70","54.18","54.18","52.91","1.42M","-0.89%"
"09/15/2025","54.18","53.90","54.20","53.50","1.34M","0.52%"
"09/14/2025","53.90","53.00","53.90","53.00","946.60K","1.72%"
"09/11/2025","52.99","53.00","53.30","52.70","545.23K","0.17%"
"09/10/2025","52.90","52.38","53.18","52.25","1.24M","1.05%"
"09/09/2025","52.35","53.00","53.40","52.35","1.20M","-0.81%"
"09/08/2025","52.78","52.70","53.48","52.62","726.10K","0.32%"
"09/07/2025","52.61","53.26","53.90","52.33","1.38M","-1.11%"
"09/03/2025","53.20","54.50","54.97","52.75","2.01M","-2.39%"
"09/02/2025","54.50","55.36","55.36","53.99","1.39M","-0.91%"
"09/01/2025","55.00","54.81","55.00","54.52","531.65K","0.51%"
"08/31/2025","54.72","55.46","55.69","54.60","568.26K","-1.33%"
"08/28/2025","55.46","54.50","55.46","54.25","1.36M","0.84%"
"08/27/2025","55.00","54.00","55.00","53.91","2.20M","2.04%"
"08/26/2025","53.90","55.13","55.20","53.50","3.68M","-1.59%"
"08/25/2025","54.77","55.23","55.50","54.56","1.41M","-0.89%"
"08/24/2025","55.26","55.04","55.55","54.60","806.70K","0.45%"
"08/21/2025","55.01","55.10","55.48","54.77","1.01M","-0.07%"
"08/20/2025","55.05","55.13","55.79","55.00","1.86M","-0.29%"
"08/19/2025","55.21","55.11","55.50","55.00","844.02K","0.18%"
"08/18/2025","55.11","55.64","56.40","55.00","2.45M","-1.32%"
"08/17/2025","55.85","55.55","56.00","54.86","484.80K","0.63%"
"08/14/2025","55.50","56.00","56.49","54.16","1.33M","-0.89%"
"08/13/2025","56.00","56.94","56.94","55.55","695.10K","-0.53%"
"08/12/2025","56.30","56.96","56.96","56.30","1.22M","-0.27%"
"08/11/2025","56.45","56.82","57.20","56.45","2.02M","-0.60%"
"08/10/2025","56.79","56.00","56.96","56.00","3.35M","1.54%"
"08/07/2025","55.93","55.30","55.93","54.70","1.72M","1.21%"
"08/06/2025","55.26","55.28","55.35","54.50","2.20M","-0.04%"
"08/05/2025","55.28","54.95","55.44","54.50","1.85M","0.62%"
"08/04/2025","54.94","53.75","54.94","53.71","1.76M","2.35%"
"08/03/2025","53.68","53.00","53.70","52.51","678.98K","0.71%"
"07/31/2025","53.30","52.63","53.30","52.63","561.13K","1.47%"
"07/30/2025","52.53","53.13","53.39","52.50","872.52K","-1.13%"
"07/29/2025","53.13","53.01","53.83","52.72","1.96M","0.82%"
"07/28/2025","52.70","54.63","55.24","52.51","2.31M","-3.52%"
"07/27/2025","54.62","55.49","55.54","54.42","1.19M","-1.59%"
"07/23/2025","55.50","54.23","55.50","53.76","1.11M","2.36%"
"07/22/2025","54.22","54.99","54.99","54.16","1.03M","-1.38%"
"07/21/2025","54.98","55.49","55.70","54.50","1.61M","-0.40%"
"07/20/2025","55.20","55.16","55.69","54.92","1.86M","0.36%"
"07/17/2025","55.00","54.87","55.80","54.87","1.56M","0.55%"
"07/16/2025","54.70","56.59","56.59","54.70","1.73M","-3.17%"
"07/15/2025","56.49","56.31","56.65","56.30","1.37M","0.43%"
"07/14/2025","56.25","55.60","56.30","55.40","2.15M","1.24%"
"07/13/2025","55.56","56.70","56.90","55.56","1.20M","-1.80%"
"07/10/2025","56.58","56.78","56.78","56.20","1.23M","-0.33%"
"07/09/2025","56.77","56.40","56.89","55.49","1.67M","0.48%"
"07/07/2025","56.50","56.50","56.99","56.30","2.22M","0.37%"
"07/06/2025","56.29","55.76","56.42","55.50","1.35M","1.41%"
"07/02/2025","55.51","55.45","56.10","55.04","1.18M","0.93%"
"07/01/2025","55.00","55.94","56.40","54.91","1.74M","-0.99%"
"06/30/2025","55.55","56.85","57.22","55.55","2.35M","-2.29%"
"06/29/2025","56.85","55.69","56.95","55.69","2.03M","2.08%"
"06/25/2025","55.69","55.00","55.75","54.55","2.28M","1.48%"
"06/24/2025","54.88","53.62","55.00","53.62","7.36M","3.55%"
"06/23/2025","53.00","53.02","53.50","53.00","2.58M","0.00%"
"06/22/2025","53.00","50.70","53.16","50.02","2.38M","3.31%"
"06/19/2025","51.30","54.47","54.50","51.30","12.06M","-5.82%"
"06/18/2025","54.47","53.25","54.73","52.80","2.03M","1.38%"
"06/17/2025","53.73","53.90","54.19","52.90","2.62M","-0.33%"
"06/16/2025","53.91","54.00","54.80","53.01","3.16M","-0.17%"
"06/15/2025","54.00","54.00","54.10","51.50","3.37M","-3.55%"
"06/12/2025","55.99","57.50","57.60","55.51","1.98M","-2.96%"
"06/11/2025","57.70","58.70","59.20","57.45","2.52M","-1.37%"
"06/10/2025","58.50","57.12","58.80","57.12","3.27M","2.42%"
"06/04/2025","57.12","56.96","57.12","56.41","1.80M","0.28%"
"06/03/2025","56.96","56.40","57.00","56.40","2.27M","0.99%"
"06/02/2025","56.40","56.90","57.18","55.81","3.58M","-0.88%"
"06/01/2025","56.90","55.10","57.00","55.10","6.85M","3.45%"
"05/29/2025","55.00","55.10","55.50","54.30","6.98M","0.00%"
"05/28/2025","55.00","54.00","55.70","53.97","9.07M","2.04%"
"05/27/2025","53.90","51.25","53.99","51.20","7.99M","5.42%"
"05/26/2025","51.13","51.40","52.37","51.07","2.88M","0.24%"
"05/25/2025","51.01","51.15","51.20","50.36","2.72M","0.00%"
"05/22/2025","51.01","51.15","51.20","50.75","2.13M","0.02%"
"05/21/2025","51.00","51.72","51.80","50.81","5.92M","-1.16%"
"05/20/2025","51.60","52.01","52.20","51.51","2.66M","-0.77%"
"05/19/2025","52.00","53.05","53.06","51.40","3.58M","-1.89%"
"05/18/2025","53.00","53.08","53.60","52.99","1.81M","0.02%"
"05/15/2025","52.99","52.96","53.40","52.92","5.21M","0.11%"
"05/14/2025","52.93","53.50","53.80","52.93","2.16M","-0.51%"
"05/13/2025","53.20","53.10","53.90","52.96","1.48M","0.38%"
"05/12/2025","53.00","53.60","54.10","52.67","2.45M","-1.12%"
"05/11/2025","53.60","53.60","54.38","53.30","3.58M","0.00%"
"05/08/2025","53.60","53.60","53.94","52.70","2.53M","0.19%"
"05/07/2025","53.50","52.70","54.00","52.70","6.24M","1.71%"
"05/06/2025","52.60","53.70","53.80","52.60","1.33M","-1.50%"
"05/05/2025","53.40","53.00","53.99","52.89","4.79M","1.17%"
"05/04/2025","52.78","52.00","53.47","52.00","4.83M","1.64%"
"04/30/2025","51.93","51.75","51.93","51.31","1.45M","0.54%"
"04/29/2025","51.65","51.30","53.00","51.25","5.70M","2.83%"
"04/28/2025","50.23","51.00","51.00","50.23","1.24M","-0.55%"
"04/27/2025","50.51","50.00","51.40","50.00","2.58M","1.04%"
"04/23/2025","49.99","48.50","50.50","48.32","5.32M","3.54%"
"04/22/2025","48.28","48.62","48.85","48.20","1.39M","-0.56%"
"04/17/2025","48.55","48.40","48.59","47.96","1.14M","0.33%"
"04/16/2025","48.39","48.95","48.97","48.22","892.03K","-0.64%"
"04/15/2025","48.70","48.04","49.20","47.96","2.97M","1.54%"
"04/14/2025","47.96","48.15","48.59","47.90","1.74M","-0.37%"
"04/13/2025","48.14","48.02","48.35","47.57","1.87M","0.71%"
"04/10/2025","47.80","48.50","48.75","47.78","2.75M","1.92%"
"04/09/2025","46.90","48.18","48.18","46.75","3.25M","-2.29%"
"04/08/2025","48.00","48.50","48.84","48.00","3.10M","-0.04%"
"04/07/2025","48.02","49.11","49.59","47.31","6.51M","-3.19%"
"04/06/2025","49.60","49.99","50.49","49.02","3.10M","-4.49%"
"04/03/2025","51.93","53.00","53.00","51.70","2.18M","-2.20%"
"03/27/2025","53.10","53.00","53.45","52.75","1.26M","0.34%"
"03/26/2025","52.92","53.09","53.46","52.80","891.74K","-0.32%"
"03/25/2025","53.09","53.20","53.20","52.70","1.42M","-0.21%"
"03/24/2025","53.20","53.70","53.84","52.60","2.68M","-0.62%"
"03/23/2025","53.53","53.95","54.30","53.40","1.39M","-0.78%"
"03/20/2025","53.95","53.70","54.10","53.43","1.62M","0.65%"
"03/19/2025","53.60","54.40","54.50","53.60","3.38M","-1.47%"
"03/18/2025","54.40","53.50","54.50","53.30","3.91M","1.12%"
"03/17/2025","53.80","54.50","54.60","53.41","1.34M","-0.37%"
"03/16/2025","54.00","53.61","54.94","53.61","3.99M","0.88%"
"03/13/2025","53.53","52.25","54.00","52.20","3.62M","2.55%"
"03/12/2025","52.20","52.50","52.90","52.20","1.70M","-0.10%"
"03/11/2025","52.25","53.52","53.80","52.25","2.83M","-2.99%"
"03/10/2025","53.86","53.00","54.00","52.81","2.53M","1.62%"
"03/09/2025","53.00","52.93","53.47","52.62","1.16M","0.13%"
"03/06/2025","52.93","52.90","53.25","52.65","1.05M","0.09%"
"03/05/2025","52.88","53.07","53.25","52.50","1.57M","-0.36%"
"03/04/2025","53.07","53.61","53.78","53.02","1.44M","-1.01%"
"03/03/2025","53.61","54.05","54.56","53.60","1.84M","-0.74%"
"03/02/2025","54.01","54.00","54.62","53.33","2.34M","0.02%"
"02/27/2025","54.00","51.94","54.00","51.55","12.46M","3.97%"
"02/26/2025","51.94","51.00","51.97","50.80","3.17M","2.32%"
"02/25/2025","50.76","51.49","51.51","50.76","1.35M","-1.05%"
"02/24/2025","51.30","51.96","52.00","51.22","2.41M","-0.39%"
"02/23/2025","51.50","51.90","52.13","51.39","2.47M","-0.75%"
"02/20/2025","51.89","51.39","51.97","51.21","3.47M","0.97%"
"02/19/2025","51.39","51.24","51.54","50.58","3.03M","0.76%"
"02/18/2025","51.00","50.82","51.30","50.72","3.23M","0.45%"
"02/17/2025","50.77","51.80","52.15","50.77","3.46M","-1.80%"
"02/16/2025","51.70","51.85","52.12","51.50","2.04M","0.94%"
"02/13/2025","51.22","51.70","51.85","50.90","1.25M","-0.83%"
"02/12/2025","51.65","50.84","52.00","49.10","6.23M","1.47%"
"02/11/2025","50.90","51.44","51.50","49.75","5.66M","-0.59%"
"02/10/2025","51.20","51.99","52.37","51.20","1.97M","-1.35%"
"02/09/2025","51.90","53.25","53.30","51.90","1.12M","-1.70%"
"02/06/2025","52.80","53.00","53.40","52.69","3.30M","0.00%"
"02/05/2025","52.80","53.01","53.47","52.33","3.44M","-0.38%"
"02/04/2025","53.00","53.70","53.98","52.86","1.91M","-1.30%"
"02/03/2025","53.70","54.01","54.40","53.40","900.06K","-0.56%"
"02/02/2025","54.00","54.80","55.51","54.00","2.44M","-1.23%"
"01/30/2025","54.67","54.51","55.00","54.40","893.28K","0.87%"
