"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","13.45","13.06","13.76","13.06","14.77M","3.30%"
"11/30/2025","13.02","12.88","13.10","12.85","2.32M","1.32%"
"11/27/2025","12.85","12.88","12.98","12.81","799.20K","-0.23%"
"11/26/2025","12.88","13.09","13.10","12.86","1.87M","-0.92%"
"11/25/2025","13.00","13.18","13.47","12.88","7.46M","-0.46%"
"11/24/2025","13.06","12.93","13.20","12.79","2.48M","2.03%"
"11/23/2025","12.80","12.89","12.98","12.78","652.83K","-0.54%"
"11/20/2025","12.87","13.00","13.04","12.76","1.14M","-1.00%"
"11/19/2025","13.00","13.04","13.15","12.95","1.01M","-0.15%"
"11/18/2025","13.02","13.41","13.44","13.02","1.84M","-2.25%"
"11/17/2025","13.32","13.35","13.42","13.13","4.64M","1.68%"
"11/16/2025","13.10","13.08","13.17","13.00","793.37K","0.54%"
"11/13/2025","13.03","13.16","13.22","13.00","1.11M","-0.53%"
"11/12/2025","13.10","13.10","13.28","13.04","1.57M","0.54%"
"11/11/2025","13.03","13.19","13.23","12.99","1.05M","-0.61%"
"11/10/2025","13.11","13.22","13.40","13.07","2.00M","-0.68%"
"11/09/2025","13.20","12.90","13.30","12.82","2.86M","2.56%"
"11/06/2025","12.87","12.92","12.96","12.84","543.01K","-0.23%"
"11/05/2025","12.90","13.08","13.09","12.80","1.27M","-0.54%"
"11/04/2025","12.97","12.90","13.08","12.90","767.64K","0.54%"
"11/03/2025","12.90","13.01","13.09","12.88","944.80K","-0.69%"
"11/02/2025","12.99","13.00","13.02","12.75","1.42M","0.54%"
"10/30/2025","12.92","13.20","13.23","12.89","1.76M","-1.82%"
"10/29/2025","13.16","13.30","13.35","13.05","1.01M","-1.05%"
"10/28/2025","13.30","13.40","13.69","13.24","3.82M","-0.60%"
"10/27/2025","13.38","13.25","13.69","13.15","5.25M","1.06%"
"10/26/2025","13.24","13.18","13.37","13.02","2.09M","1.46%"
"10/23/2025","13.05","13.15","13.33","13.05","1.89M","-0.76%"
"10/22/2025","13.15","13.41","13.47","13.10","2.38M","-1.50%"
"10/21/2025","13.35","12.85","13.58","12.80","10.83M","3.97%"
"10/20/2025","12.84","13.08","13.08","12.80","2.03M","-0.85%"
"10/19/2025","12.95","13.00","13.14","12.91","1.82M","0.39%"
"10/16/2025","12.90","13.06","13.13","12.88","2.99M","-1.07%"
"10/15/2025","13.04","12.71","13.17","12.71","8.76M","2.19%"
"10/14/2025","12.76","12.56","12.88","12.54","2.89M","1.43%"
"10/13/2025","12.58","12.69","12.71","12.52","698.54K","-0.32%"
"10/12/2025","12.62","12.68","12.69","12.45","1.03M","-0.55%"
"10/08/2025","12.69","12.58","12.81","12.46","2.20M","1.44%"
"10/07/2025","12.51","12.28","12.64","12.25","1.93M","1.96%"
"10/06/2025","12.27","12.25","12.36","12.23","437.99K","0.33%"
"10/05/2025","12.23","12.35","12.36","12.22","402.56K","-0.24%"
"10/02/2025","12.26","12.19","12.30","12.13","449.61K","0.82%"
"10/01/2025","12.16","12.31","12.35","12.15","689.69K","-0.49%"
"09/30/2025","12.22","12.19","12.38","12.13","1.10M","0.49%"
"09/29/2025","12.16","12.05","12.22","12.04","475.02K","1.00%"
"09/28/2025","12.04","12.14","12.14","12.01","254.51K","0.00%"
"09/25/2025","12.04","11.94","12.14","11.90","732.86K","1.52%"
"09/24/2025","11.86","11.88","11.97","11.84","352.37K","-0.34%"
"09/23/2025","11.90","11.92","11.99","11.89","258.26K","-0.17%"
"09/22/2025","11.92","11.99","11.99","11.89","347.98K","0.00%"
"09/21/2025","11.92","12.06","12.10","11.90","563.59K","-1.24%"
"09/18/2025","12.07","12.02","12.21","12.02","200.95K","-0.25%"
"09/17/2025","12.10","11.99","12.17","11.90","252.59K","0.92%"
"09/16/2025","11.99","12.22","12.30","11.88","1.24M","-1.88%"
"09/15/2025","12.22","12.23","12.31","12.21","317.38K","-0.08%"
"09/14/2025","12.23","12.37","12.40","12.23","590.84K","-0.57%"
"09/11/2025","12.30","12.35","12.40","12.27","511.73K","0.00%"
"09/10/2025","12.30","12.26","12.39","12.22","276.90K","0.41%"
"09/09/2025","12.25","12.30","12.35","12.23","400.20K","-0.16%"
"09/08/2025","12.27","12.26","12.39","12.25","244.04K","0.00%"
"09/07/2025","12.27","12.43","12.45","12.26","472.93K","-1.29%"
"09/03/2025","12.43","12.50","12.57","12.41","320.74K","-0.56%"
"09/02/2025","12.50","12.53","12.66","12.49","412.53K","-0.24%"
"09/01/2025","12.53","12.52","12.64","12.51","275.45K","0.16%"
