"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","63.62","65.50","66.39","63.11","838.95K","-2.12%"
"11/30/2025","65.00","63.55","65.30","63.50","848.30K","2.36%"
"11/27/2025","63.50","63.51","65.00","62.51","886.70K","-0.77%"
"11/26/2025","63.99","63.50","65.45","63.50","3.51M","0.72%"
"11/25/2025","63.53","64.98","65.75","63.02","1.17M","-3.45%"
"11/24/2025","65.80","65.30","66.90","63.11","1.75M","0.81%"
"11/23/2025","65.27","63.50","68.48","63.00","1.61M","3.77%"
"11/20/2025","62.90","60.00","62.90","59.60","2.35M","4.83%"
"11/19/2025","60.00","60.69","61.10","59.51","578.23K","-1.09%"
"11/18/2025","60.66","61.00","61.98","59.95","1.50M","-0.72%"
"11/17/2025","61.10","63.00","63.40","59.51","787.74K","-2.52%"
"11/16/2025","62.68","56.49","62.88","56.11","1.95M","11.93%"
"11/13/2025","56.00","53.30","57.00","52.80","2.96M","6.38%"
"11/12/2025","52.64","53.40","53.42","52.61","191.59K","-1.48%"
"11/11/2025","53.43","52.50","53.47","51.92","700.15K","1.79%"
"11/10/2025","52.49","52.49","52.99","51.26","1.14M","0.02%"
"11/09/2025","52.48","53.00","53.48","52.05","269.62K","-0.72%"
"11/06/2025","52.86","53.80","54.00","52.77","272.11K","-1.75%"
"11/05/2025","53.80","53.70","53.94","52.75","346.88K","0.56%"
"11/04/2025","53.50","51.83","53.59","51.83","1.12M","3.22%"
"11/03/2025","51.83","49.70","52.44","49.20","672.26K","4.29%"
"11/02/2025","49.70","50.10","50.47","48.06","226.82K","-0.80%"
"10/30/2025","50.10","50.40","50.50","50.00","372.09K","-0.60%"
"10/29/2025","50.40","50.37","50.77","50.02","226.06K","-0.02%"
"10/28/2025","50.41","50.85","50.94","50.27","261.70K","-0.20%"
"10/27/2025","50.51","50.63","51.00","50.21","396.17K","-0.04%"
"10/26/2025","50.53","50.75","51.40","50.50","619.54K","-0.53%"
"10/23/2025","50.80","50.80","51.49","50.09","757.32K","0.26%"
"10/22/2025","50.67","50.30","50.87","50.03","78.22K","0.34%"
"10/21/2025","50.50","50.04","50.96","49.82","355.18K","0.96%"
"10/20/2025","50.02","50.40","51.09","50.00","299.74K","-0.75%"
"10/19/2025","50.40","50.28","51.49","50.00","281.18K","0.14%"
"10/16/2025","50.33","49.95","50.98","49.95","1.32M","0.66%"
"10/15/2025","50.00","49.55","50.00","48.00","748.36K","0.91%"
"10/14/2025","49.55","49.00","50.00","49.00","1.31M","1.33%"
"10/13/2025","48.90","50.22","50.50","48.90","741.64K","-2.20%"
"10/12/2025","50.00","48.04","50.53","47.80","782.59K","4.10%"
"10/08/2025","48.03","47.85","49.99","47.51","782.00K","0.44%"
"10/07/2025","47.82","49.00","49.83","47.30","877.89K","-2.41%"
"10/06/2025","49.00","49.00","49.48","48.20","409.19K","0.00%"
"10/05/2025","49.00","49.81","50.99","49.00","402.80K","-1.61%"
"10/02/2025","49.80","50.99","50.99","49.80","2.14M","-2.35%"
