"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","3.11","3.14","3.17","3.11","6.39M","-0.48%"
"11/30/2025","3.13","3.13","3.16","3.13","5.39M","0.24%"
"11/27/2025","3.12","3.12","3.17","3.10","7.76M","0.00%"
"11/26/2025","3.12","3.13","3.17","3.11","3.59M","0.00%"
"11/25/2025","3.12","3.15","3.16","3.11","2.73M","-0.72%"
"11/24/2025","3.14","3.17","3.17","3.07","11.55M","-0.24%"
"11/23/2025","3.15","3.17","3.20","3.15","4.05M","-0.24%"
"11/20/2025","3.16","3.17","3.20","3.15","4.50M","-0.24%"
"11/19/2025","3.17","3.19","3.20","3.15","4.98M","-0.48%"
"11/18/2025","3.18","3.25","3.25","3.17","6.37M","-1.86%"
"11/17/2025","3.24","3.17","3.25","3.16","12.01M","3.13%"
"11/16/2025","3.14","3.17","3.19","3.14","7.59M","-0.48%"
"11/13/2025","3.16","3.17","3.18","3.12","8.89M","0.24%"
"11/12/2025","3.15","3.19","3.20","3.14","8.74M","-0.71%"
"11/11/2025","3.17","3.17","3.20","3.17","7.28M","0.48%"
"11/10/2025","3.16","3.21","3.23","3.16","9.71M","-0.95%"
"11/09/2025","3.19","3.25","3.35","3.19","38.75M","-1.40%"
"11/06/2025","3.23","3.14","3.26","3.09","27.06M","2.88%"
"11/05/2025","3.14","3.20","3.21","3.11","21.26M","-1.65%"
"11/04/2025","3.20","3.24","3.25","3.17","20.10M","-0.70%"
"11/03/2025","3.22","3.26","3.27","3.19","7.98M","-0.93%"
"11/02/2025","3.25","3.28","3.29","3.20","4.78M","-0.92%"
"10/30/2025","3.28","3.34","3.35","3.26","8.11M","-1.36%"
"10/29/2025","3.32","3.32","3.35","3.28","3.88M","0.23%"
"10/28/2025","3.32","3.36","3.38","3.29","5.74M","-1.35%"
"10/27/2025","3.36","3.41","3.43","3.35","5.89M","-1.11%"
"10/26/2025","3.40","3.36","3.42","3.35","6.21M","1.35%"
"10/23/2025","3.35","3.36","3.38","3.35","3.04M","-0.22%"
"10/22/2025","3.36","3.40","3.41","3.35","4.21M","-0.67%"
"10/21/2025","3.38","3.39","3.44","3.35","15.71M","0.00%"
"10/20/2025","3.38","3.32","3.38","3.28","12.21M","2.28%"
"10/19/2025","3.31","3.32","3.32","3.29","4.21M","0.00%"
"10/16/2025","3.31","3.31","3.32","3.28","5.98M","0.00%"
"10/15/2025","3.31","3.31","3.32","3.26","3.55M","0.23%"
"10/14/2025","3.30","3.26","3.34","3.24","10.12M","1.86%"
"10/13/2025","3.24","3.24","3.27","3.21","4.41M","0.00%"
"10/12/2025","3.24","3.25","3.26","3.21","2.60M","-0.46%"
"10/08/2025","3.26","3.27","3.27","3.22","3.06M","0.23%"
"10/07/2025","3.25","3.23","3.26","3.19","5.37M","0.94%"
"10/06/2025","3.22","3.25","3.26","3.19","4.47M","-0.47%"
"10/05/2025","3.23","3.26","3.28","3.23","3.95M","-0.93%"
"10/02/2025","3.26","3.28","3.28","3.23","5.02M","-0.46%"
"10/01/2025","3.28","3.21","3.29","3.17","14.64M","2.36%"
"09/30/2025","3.20","3.17","3.20","3.11","11.65M","0.95%"
"09/29/2025","3.17","3.18","3.22","3.15","7.50M","0.00%"
"09/28/2025","3.17","3.07","3.17","3.04","10.12M","3.45%"
"09/25/2025","3.07","3.10","3.11","3.04","8.28M","-0.73%"
"09/24/2025","3.09","3.07","3.10","3.06","3.86M","0.74%"
"09/23/2025","3.07","3.10","3.11","3.07","2.80M","-0.49%"
"09/22/2025","3.08","3.07","3.11","3.07","2.93M","0.00%"
"09/21/2025","3.08","3.10","3.11","3.04","10.00M","-0.24%"
"09/18/2025","3.09","3.12","3.13","3.08","3.26M","-0.73%"
"09/17/2025","3.11","3.11","3.14","3.07","6.80M","0.49%"
"09/16/2025","3.10","3.16","3.17","3.07","3.94M","-2.15%"
"09/15/2025","3.17","3.20","3.20","3.14","4.83M","-0.48%"
"09/14/2025","3.18","3.15","3.22","3.14","6.68M","0.96%"
"09/11/2025","3.15","3.10","3.23","3.09","16.29M","2.21%"
"09/10/2025","3.08","3.07","3.10","3.06","3.76M","0.49%"
"09/09/2025","3.07","3.14","3.15","3.06","6.75M","-1.93%"
"09/08/2025","3.13","3.12","3.16","3.10","8.28M","0.73%"
"09/07/2025","3.11","3.10","3.20","3.07","16.34M","1.23%"
"09/03/2025","3.07","3.09","3.11","3.03","9.49M","-0.49%"
"09/02/2025","3.08","3.12","3.14","3.05","10.43M","-0.49%"
"09/01/2025","3.10","3.17","3.17","3.02","9.30M","-1.68%"
"08/31/2025","3.15","3.26","3.29","3.12","9.95M","-2.57%"
"08/28/2025","3.23","3.29","3.30","3.22","4.94M","-0.70%"
"08/27/2025","3.26","3.30","3.34","3.26","4.60M","-1.82%"
"08/26/2025","3.32","3.31","3.38","3.26","15.78M","1.86%"
"08/25/2025","3.26","3.17","3.29","3.16","8.16M","3.36%"
"08/24/2025","3.15","3.20","3.22","3.15","7.02M","-1.18%"
"08/21/2025","3.19","3.25","3.26","3.18","9.31M","-1.86%"
"08/20/2025","3.25","3.32","3.32","3.23","6.58M","-1.60%"
"08/19/2025","3.30","3.29","3.34","3.29","3.77M","0.46%"
"08/18/2025","3.29","3.34","3.35","3.29","4.31M","-0.91%"
"08/17/2025","3.32","3.29","3.35","3.28","4.33M","1.39%"
