"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","10.49","10.59","10.80","10.44","76.89K","-1.59%"
"11/30/2025","10.66","10.63","10.78","10.45","52.04K","2.21%"
"11/27/2025","10.43","10.79","10.79","10.40","107.95K","-1.04%"
"11/26/2025","10.54","10.50","10.99","10.31","98.42K","-2.50%"
"11/25/2025","10.81","10.88","11.00","10.76","105.04K","-2.44%"
"11/24/2025","11.08","10.85","11.20","10.85","85.04K","0.82%"
"11/23/2025","10.99","10.85","11.00","10.85","48.99K","-0.09%"
"11/20/2025","11.00","11.20","11.20","10.82","87.54K","-0.90%"
"11/19/2025","11.10","11.10","11.12","10.88","59.02K","2.49%"
"11/18/2025","10.83","11.29","11.29","10.70","105.93K","-3.56%"
"11/17/2025","11.23","11.37","11.37","11.10","71.65K","-0.27%"
"11/16/2025","11.26","11.25","11.43","11.04","49.12K","1.44%"
"11/13/2025","11.10","11.27","11.27","11.06","61.16K","-1.51%"
"11/12/2025","11.27","11.27","11.34","11.07","59.60K","0.18%"
"11/11/2025","11.25","11.25","11.27","11.11","18.73K","0.00%"
"11/10/2025","11.25","11.27","11.27","11.00","147.83K","0.90%"
"11/09/2025","11.15","11.23","11.27","11.00","37.23K","0.81%"
"11/06/2025","11.06","11.19","11.33","10.70","131.09K","-1.78%"
"11/05/2025","11.26","11.36","11.36","11.19","30.13K","-1.23%"
"11/04/2025","11.40","11.30","11.59","11.21","31.91K","-0.09%"
"11/03/2025","11.41","11.15","11.48","11.15","76.41K","0.00%"
"11/02/2025","11.41","11.20","11.50","11.06","162.66K","1.78%"
"10/30/2025","11.21","11.28","11.49","11.20","120.55K","-1.58%"
"10/29/2025","11.39","11.30","11.51","11.25","27.25K","0.71%"
"10/28/2025","11.31","11.63","11.85","11.20","100.35K","-2.92%"
"10/27/2025","11.65","11.90","11.95","11.63","227.26K","0.00%"
"10/26/2025","11.65","11.66","11.73","11.50","84.26K","-0.09%"
"10/23/2025","11.66","11.13","12.00","11.13","685.97K","5.14%"
"10/22/2025","11.09","11.30","11.65","11.00","238.28K","-1.60%"
"10/21/2025","11.27","11.07","11.30","10.70","287.39K","1.81%"
"10/20/2025","11.07","11.13","11.29","11.05","213.41K","-1.95%"
"10/19/2025","11.29","11.15","11.38","11.12","116.96K","1.16%"
"10/16/2025","11.16","11.35","11.36","11.10","193.95K","-1.33%"
"10/15/2025","11.31","11.40","11.40","11.11","65.22K","-0.53%"
"10/14/2025","11.37","11.70","11.70","11.31","84.53K","-1.30%"
"10/13/2025","11.52","11.50","11.94","11.45","342.48K","0.88%"
"10/12/2025","11.42","11.50","11.50","11.35","146.29K","0.62%"
"10/08/2025","11.35","11.60","11.60","11.30","251.24K","-0.53%"
"10/07/2025","11.41","11.20","11.65","11.08","440.27K","1.88%"
"10/06/2025","11.20","11.30","11.39","11.00","208.50K","-2.27%"
"10/05/2025","11.46","11.13","11.70","11.10","292.95K","2.87%"
"10/02/2025","11.14","11.25","11.50","11.07","467.14K","-0.62%"
"10/01/2025","11.21","10.82","11.30","10.82","473.21K","2.94%"
"09/30/2025","10.89","10.90","10.90","10.70","26.50K","0.00%"
"09/29/2025","10.89","10.77","10.95","10.72","51.36K","1.11%"
"09/28/2025","10.77","10.32","10.95","10.32","131.21K","2.28%"
"09/25/2025","10.53","10.60","10.65","10.27","47.87K","-0.19%"
"09/24/2025","10.55","10.50","10.64","10.09","188.42K","1.74%"
"09/23/2025","10.37","10.02","10.69","10.02","107.52K","2.17%"
"09/22/2025","10.15","10.06","10.20","9.80","73.74K","0.89%"
"09/21/2025","10.06","10.20","10.20","10.03","71.54K","0.30%"
"09/18/2025","10.03","10.10","10.20","10.00","72.68K","-0.59%"
"09/17/2025","10.09","10.04","10.18","9.92","93.08K","0.50%"
"09/16/2025","10.04","10.17","10.39","9.61","165.70K","-2.52%"
"09/15/2025","10.30","10.36","10.43","10.16","91.70K","-0.39%"
"09/14/2025","10.34","10.63","10.63","10.13","97.75K","-1.24%"
"09/11/2025","10.47","10.55","10.64","10.17","288.62K","1.85%"
"09/10/2025","10.28","10.40","10.61","10.10","144.39K","-1.25%"
"09/09/2025","10.41","10.45","10.85","10.41","261.63K","-0.95%"
"09/08/2025","10.51","10.35","10.97","10.11","354.79K","1.74%"
"09/07/2025","10.33","10.78","10.78","10.31","157.46K","-1.62%"
"09/03/2025","10.50","10.70","10.99","10.50","331.90K","-2.05%"
"09/02/2025","10.72","10.66","10.89","10.57","313.21K","1.61%"
"09/01/2025","10.55","9.86","10.70","9.67","1.18M","6.46%"
"08/31/2025","9.91","10.38","10.38","9.85","334.04K","-1.78%"
"08/28/2025","10.09","10.29","10.40","9.84","549.86K","-0.39%"
"08/27/2025","10.13","9.81","10.47","9.81","1.91M","5.52%"
"08/26/2025","9.60","9.00","9.68","8.85","983.41K","5.26%"
"08/25/2025","9.12","9.20","9.20","9.05","211.89K","0.22%"
"08/24/2025","9.10","8.90","9.25","8.85","591.09K","3.76%"
"08/21/2025","8.77","8.70","8.93","8.61","112.89K","1.98%"
"08/20/2025","8.60","8.62","8.70","8.60","182.62K","0.00%"
"08/19/2025","8.60","8.71","8.71","8.54","152.00K","-1.15%"
"08/18/2025","8.70","8.68","8.79","8.60","186.39K","0.23%"
"08/17/2025","8.68","8.65","8.81","8.57","102.21K","-0.23%"
"08/14/2025","8.70","8.69","8.89","8.69","22.54K","0.00%"
"08/13/2025","8.70","8.77","8.82","8.64","73.73K","-1.14%"
"08/12/2025","8.80","8.85","8.88","8.76","67.82K","-0.56%"
"08/11/2025","8.85","8.89","9.06","8.83","84.97K","-1.67%"
"08/10/2025","9.00","8.81","9.05","8.81","212.71K","0.00%"
"08/07/2025","9.00","8.80","9.00","8.62","365.15K","2.16%"
"08/06/2025","8.81","8.88","9.09","8.80","352.60K","-0.68%"
"08/05/2025","8.87","8.82","9.28","8.82","914.73K","1.84%"
"08/04/2025","8.71","8.62","8.88","8.62","420.13K","1.63%"
"08/03/2025","8.57","8.50","8.63","8.50","464.60K","1.54%"
"07/31/2025","8.44","8.26","8.45","8.20","565.78K","2.18%"
"07/30/2025","8.26","8.05","8.40","8.05","443.16K","2.35%"
"07/29/2025","8.07","8.03","8.21","8.00","160.55K","-0.37%"
"07/28/2025","8.10","8.07","8.19","8.03","137.10K","-0.86%"
"07/27/2025","8.17","8.20","8.25","8.06","242.40K","-0.24%"
"07/23/2025","8.19","8.07","8.25","8.07","86.16K","1.11%"
"07/22/2025","8.10","8.25","8.26","8.05","60.53K","-1.94%"
"07/21/2025","8.26","8.25","8.36","8.20","243.45K","0.36%"
"07/20/2025","8.23","8.30","8.44","8.21","524.05K","0.37%"
"07/17/2025","8.20","7.98","8.47","7.98","1.25M","2.76%"
"07/16/2025","7.98","7.93","8.01","7.93","131.28K","-0.13%"
"07/15/2025","7.99","7.96","8.04","7.90","270.77K","0.13%"
"07/14/2025","7.98","7.95","8.04","7.95","153.06K","0.25%"
"07/13/2025","7.96","8.09","8.09","7.91","100.98K","-1.49%"
"07/10/2025","8.08","8.09","8.10","7.91","141.50K","0.25%"
"07/09/2025","8.06","8.00","8.10","7.73","179.80K","0.75%"
"07/07/2025","8.00","8.10","8.12","7.91","413.36K","-0.62%"
"07/06/2025","8.05","7.92","8.20","7.92","632.16K","3.87%"
"07/02/2025","7.75","7.68","7.82","7.68","93.86K","0.26%"
"07/01/2025","7.73","7.84","7.91","7.68","110.55K","-1.78%"
"06/30/2025","7.87","7.98","7.98","7.80","105.49K","-0.13%"
"06/29/2025","7.88","7.90","8.07","7.87","675.09K","0.51%"
