"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","6.00","5.89","6.07","5.86","39.41M","2.39%"
"11/30/2025","5.86","5.97","5.98","5.82","26.59M","-1.18%"
"11/27/2025","5.93","5.95","6.05","5.89","29.71M","1.02%"
"11/26/2025","5.87","5.87","6.09","5.82","67.03M","0.86%"
"11/25/2025","5.82","6.05","6.11","5.80","48.55M","-3.80%"
"11/24/2025","6.05","6.12","6.16","6.04","45.06M","-1.14%"
"11/23/2025","6.12","6.22","6.26","6.12","57.12M","-2.08%"
"11/20/2025","6.25","6.46","6.50","6.23","134.07M","0.00%"
"11/19/2025","6.25","6.09","6.34","6.05","104.46M","3.14%"
"11/18/2025","6.06","6.17","6.20","5.99","44.87M","-1.62%"
"11/17/2025","6.16","6.10","6.20","5.99","60.69M","1.48%"
"11/16/2025","6.07","6.11","6.29","6.07","99.28M","0.66%"
"11/13/2025","6.03","5.67","6.12","5.64","136.73M","7.30%"
"11/12/2025","5.62","5.49","5.64","5.46","48.67M","3.31%"
"11/11/2025","5.44","5.40","5.51","5.38","19.97M","0.55%"
"11/10/2025","5.41","5.47","5.49","5.33","36.08M","-1.10%"
"11/09/2025","5.47","5.47","5.47","5.42","16.25M","-0.18%"
"11/06/2025","5.48","5.56","5.60","5.40","44.45M","-0.90%"
"11/05/2025","5.53","5.44","5.57","5.42","63.92M","2.03%"
"11/04/2025","5.42","5.40","5.45","5.40","22.11M","0.37%"
"11/03/2025","5.40","5.41","5.45","5.33","34.25M","0.37%"
"11/02/2025","5.38","5.37","5.49","5.32","19.15M","1.13%"
"10/30/2025","5.32","5.34","5.37","5.30","23.74M","0.19%"
"10/29/2025","5.31","5.35","5.35","5.27","18.27M","0.19%"
"10/28/2025","5.30","5.44","5.45","5.29","30.63M","-2.57%"
"10/27/2025","5.44","5.48","5.50","5.44","17.67M","-0.55%"
"10/26/2025","5.47","5.48","5.53","5.45","33.07M","0.74%"
"10/23/2025","5.43","5.32","5.45","5.31","32.56M","2.26%"
"10/22/2025","5.31","5.37","5.38","5.19","26.72M","-0.75%"
"10/21/2025","5.35","5.41","5.44","5.30","23.66M","-1.29%"
"10/20/2025","5.42","5.60","5.63","5.42","25.67M","-3.21%"
"10/19/2025","5.60","5.43","5.65","5.33","30.71M","3.70%"
"10/16/2025","5.40","5.11","5.45","5.10","65.00M","5.68%"
"10/15/2025","5.11","5.14","5.15","5.05","13.76M","0.00%"
"10/14/2025","5.11","5.14","5.18","5.09","37.85M","0.39%"
"10/13/2025","5.09","5.06","5.16","5.04","41.02M","1.19%"
"10/12/2025","5.03","5.00","5.10","4.95","29.96M","1.41%"
