ticker,company name,short name,industry,exchange,market cap,sector
A,Agilent Technologies Inc.,Agilent,Medical Diagnostics & Research,New York Stock Exchange,24218068096,Healthcare
AA,Alcoa Corporation,Alcoa,Metals & Mining,New York Stock Exchange,5374966543,Basic Materials
AAC,AAC Holdings Inc.,AAC,Health Care Providers,New York Stock Exchange,63720099,Healthcare
AAN,Aaron's Inc.,Aaron's,Consulting & Outsourcing,New York Stock Exchange,3677542512,Industrials
AAP,Advance Auto Parts Inc W/I,Advance Auto Parts,Retail - Apparel & Specialty,New York Stock Exchange,11761401561,Consumer Cyclical
AAT,American Assets Trust Inc.,American Assets Trust,REITs,New York Stock Exchange,2032912309,Real Estate
AB,AllianceBernstein Holding L.P. Units,AllianceBernstein Holding Units,Asset Management,New York Stock Exchange,2944027239,Financial Services
ABB,ABB Ltd,ABB,Industrial Products,New York Stock Exchange,41399626029,Industrials
ABBV,AbbVie Inc.,AbbVie,Drug Manufacturers,New York Stock Exchange,1.18126E+11,Healthcare
ABC,AmerisourceBergen Corporation,AmerisourceBergen,Medical Distribution,New York Stock Exchange,17826541464,Healthcare
ABEV,Ambev S.A. American Depositary Shares (Each representing 1),Ambev S.A. American Depositary Shares (Each representing 1),Beverages - Alcoholic,New York Stock Exchange,78133961470,Consumer Defensive
ABG,Asbury Automotive Group Inc,Asbury Automotive,Autos,New York Stock Exchange,1414255224,Consumer Cyclical
ABM,ABM Industries Incorporated,ABM Industries Incorporated,Business Services,New York Stock Exchange,2278017026,Industrials
ABR,Arbor Realty Trust,Arbor Realty Trust,REITs,New York Stock Exchange,1033090857,Real Estate
ABT,Abbott Laboratories,Abbott Laboratories,Medical Devices,New York Stock Exchange,1.27334E+11,Healthcare
AC,Associated Capital Group Inc.,Associated Capital,Brokers & Exchanges,New York Stock Exchange,954976182,Financial Services
ACA,Arcosa Inc.,Arcosa,Engineering & Construction,New York Stock Exchange,1438586026,Industrials
ACB,Aurora Cannabis Inc.,Aurora Cannabis,Drug Manufacturers,New York Stock Exchange,8024585262,Healthcare
ACC,American Campus Communities Inc,American Campus Communities,REITs,New York Stock Exchange,6247265538,Real Estate
ACCO,Acco Brands Corporation,Acco Brands,Industrial Products,New York Stock Exchange,935958166,Industrials
ACH,Aluminum Corporation of China Limited American Depositary Shares,Aluminum of China Limited American Depositary Shares,Metals & Mining,New York Stock Exchange,5627674210,Basic Materials
ACM,AECOM,AECOM,Engineering & Construction,New York Stock Exchange,4850975102,Industrials
ACN,Accenture plc Class A (Ireland),Accenture plc (Ireland),Application Software,New York Stock Exchange,99997753856,Technology
ACP,Aberdeen Income Credit Strategies Fund,Aberdeen Income Credit Strategies Fund,Asset Management,New York Stock Exchange,153881827,Financial Services
